tf,df,tdf,indegree,outdegree,Degree,weighted-indegree,weighted-outdegree,Weighted-Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stopword
84,81,6804,17,55,72,84,84,168,7,0.407358,0.42758,0.000374,No
164,155,25420,115,24,139,164,164,328,8,0.373076,0.390724,0.000374,No
59,57,3363,25,27,52,59,59,118,7,0.386846,0.40616,0.000372,No
91,86,7826,23,38,61,91,91,182,7,0.404586,0.424306,0.000372,No
105,105,11025,33,60,93,105,105,210,8,0.398603,0.419289,0.000372,No
45,45,2025,22,30,52,45,45,90,7,0.353945,0.369171,0.000372,No
272,266,72352,52,84,136,272,272,544,7,0.40729,0.427506,0.000372,No
122,121,14762,30,42,72,122,122,244,7,0.402363,0.422578,0.00037,No
103,101,10403,33,61,94,103,103,206,8,0.37284,0.392317,0.000369,yes
344,324,111456,26,75,101,344,344,688,7,0.419548,0.439454,0.000369,No
79,77,6083,17,49,66,79,79,158,7,0.41531,0.434704,0.000368,No
230,226,51980,65,76,141,230,230,460,7,0.407309,0.427823,0.000366,No
40,35,1400,22,20,42,40,40,80,7,0.370419,0.387277,0.000364,No
64,60,3840,31,28,59,64,64,128,7,0.394831,0.413946,0.000362,No
210,205,43050,29,54,83,210,210,420,7,0.407796,0.42757,0.00036,No
95,82,7790,28,48,76,95,95,190,8,0.408255,0.428259,0.000359,No
207,190,39330,18,67,85,207,207,414,8,0.346936,0.362319,0.000358,No
143,140,20020,38,59,97,143,143,286,7,0.400314,0.420102,0.000357,No
102,91,9282,23,37,60,102,102,204,7,0.400709,0.420688,0.000357,No
95,94,8930,41,30,71,95,95,190,7,0.388263,0.407231,0.000354,No
11,11,121,6,8,14,11,11,22,7,0.35435,0.369495,0.000354,No
153,129,19737,16,60,76,153,153,306,7,0.409755,0.429724,0.000352,No
3,3,9,1,3,4,3,3,6,10,0.199537,0.202008,0.000352,No
104,93,9672,15,38,53,104,104,208,7,0.403342,0.422953,0.000351,No
73,70,5110,6,32,38,73,73,146,8,0.382073,0.402166,0.000351,No
62,57,3534,10,33,43,62,62,124,7,0.401652,0.421382,0.00035,No
376,365,137240,58,72,130,376,376,752,7,0.414281,0.434082,0.000349,No
290,285,82650,19,67,86,290,290,580,7,0.414362,0.434142,0.000348,No
110,100,11000,21,54,75,110,110,220,7,0.41406,0.433687,0.000347,No
115,112,12880,43,57,100,115,115,230,7,0.404711,0.424819,0.000347,No
121,117,14157,39,48,87,121,121,242,7,0.406639,0.426444,0.000345,No
107,100,10700,43,43,86,107,107,214,7,0.402296,0.422473,0.000345,No
50,48,2400,8,32,40,50,50,100,7,0.395187,0.414823,0.000343,No
83,82,6806,36,34,70,83,83,166,7,0.388025,0.407236,0.000343,No
152,139,21128,29,70,99,152,152,304,7,0.422247,0.441705,0.000343,No
105,101,10605,19,47,66,105,105,210,7,0.404634,0.424385,0.000342,No
125,109,13625,15,62,77,125,125,250,7,0.418201,0.437768,0.000342,No
51,47,2397,16,33,49,51,51,102,7,0.386592,0.406454,0.000342,No
38,36,1368,22,19,41,38,38,76,8,0.377952,0.396652,0.000342,No
99,96,9504,35,59,94,99,99,198,7,0.395206,0.415151,0.000341,yes
56,53,2968,21,24,45,56,56,112,7,0.347919,0.362168,0.000341,No
162,155,25110,11,64,75,162,162,324,7,0.402059,0.42229,0.000341,No
102,102,10404,71,51,122,102,102,204,8,0.355538,0.371249,0.000339,No
91,88,8008,17,50,67,91,91,182,7,0.376442,0.395061,0.000338,No
29,29,841,24,18,42,29,29,58,8,0.35065,0.365076,0.000338,No
57,56,3192,13,39,52,57,57,114,7,0.380888,0.399914,0.000338,No
36,34,1224,24,17,41,36,36,72,7,0.388989,0.408224,0.000337,No
150,146,21900,38,33,71,150,150,300,7,0.393828,0.413167,0.000336,No
80,76,6080,37,31,68,80,80,160,7,0.389557,0.408839,0.000334,No
34,32,1088,8,18,26,34,34,68,7,0.363894,0.380215,0.000333,No
118,107,12626,29,47,76,118,118,236,7,0.390833,0.410402,0.000333,No
