id,Label,tf,df,tdf
258,xanana,25,1,25
259,haktuir,149,1,149
260,tétun,3,1,3
261,hanesan,359,1,359
262,populasaun,107,1,107
263,observasaun,10,1,10
264,lalais,49,1,49
265,wainhira,180,1,180
266,dahuluk,98,1,98
267,kaladu,2,1,2
268,nian,534,1,534
269,repúblika,198,1,198
270,shipyards,1,1,1
271,rápido,1,1,1
272,metru,39,1,39
273,xina,19,1,19
274,tula,21,1,21
275,nós,2,1,2
276,de,131,1,131
277,parte,223,1,223
278,oekusi,21,1,21
279,tomak,73,1,73
280,portu,12,1,12
281,gusm,20,1,20
282,hala’o,209,1,209
283,barco,2,1,2
284,uza,133,1,133
285,komunikadu,117,1,117
286,liña,42,1,42
287,ajuda,45,1,45
288,objetivu,61,1,61
289,loron-,2,1,2
290,automátika,2,1,2
291,gomes,23,1,23
292,finansa,42,1,42
293,divulgasaun,56,1,56
294,rápidamente,1,1,1
295,deteta,52,1,52
296,direita,39,1,39
297,akordu,43,1,43
298,komoro,39,1,39
299,inklui,109,1,109
300,eletrisidade,64,1,64
301,determinadu,4,1,4
302,lobato,19,1,19
303,molok,70,1,70
304,hafoin,213,1,213
305,rede,11,1,11
306,kontrolu,19,1,19
307,liuhosi,343,1,343
308,sistema,42,1,42
309,nune’e,265,1,265
310,hadi’a,36,1,36
311,ruma,88,1,88
312,avariasaun,2,1,2
313,tau-matan,26,1,26
314,moderniza,2,1,2
315,distribuisaun,18,1,18
316,implementa,48,1,48
317,administrativu,12,1,12
318,akompaña,30,1,30
319,jere,10,1,10
320,asina,48,1,48
321,modernizasaun,4,1,4
322,momentu,20,1,20
323,banku,8,1,8
324,falla,2,1,2
325,adb,9,1,9
326,funsionáriu,42,1,42
327,transmisaun,27,1,27
328,edtl,11,1,11
329,rekrutamentu,35,1,35
330,aeroportu,17,1,17
331,edifísiu,48,1,48
332,ribeiro,5,1,5
333,enérjia,1,1,1
334,tiago,1,1,1
335,kualidade,33,1,33
336,prosesu,102,1,102
337,kapasitasaun,7,1,7
338,empréstimu,8,1,8
339,outubru,123,1,123
340,aprovizionamentu,10,1,10
341,dezenvolvimentu,81,1,81
342,liután,59,1,59
343,utilizasaun,5,1,5
344,garante,22,1,22
345,rui,25,1,25
346,estabelese,20,1,20
347,enerjia,9,1,9
348,nicolau,23,1,23
349,millaun,90,1,90
350,aziátiku,13,1,13
351,e,31,1,31
352,preparasaun,23,1,23
353,hahú,129,1,129
354,efetividade,1,1,1
355,reprezentante,39,1,39
356,tékniku,45,1,45
357,modernu,2,1,2
358,fásil,3,1,3
359,dezenvolve,24,1,24
360,p,19,1,19
361,timoroan,79,1,79
362,salele,2,1,2
363,atributu,7,1,7
364,suai,14,1,14
365,bravo,2,1,2
366,treinu,2,1,2
367,aldeia,119,1,119
368,kalan,30,1,30
369,envelope,1,1,1
370,kuarta,31,1,31
371,masin,2,1,2
372,iks,7,1,7
373,gorotu-same,1,1,1
374,hatama,26,1,26
375,tasi,19,1,19
376,beiseuk,2,1,2
377,tilomar,6,1,6
378,q,1,1,1
379,segundu,15,1,15
380,tdc,1,1,1
381,as,1,1,1
382,masimidar,1,1,1
383,postu,71,1,71
384,osidentál,1,1,1
385,afirma,40,1,40
386,pár,1,1,1
387,de’it,216,1,216
388,grupu,84,1,84
389,postu-administrativu,116,1,116
390,ami,236,1,236
391,pengesahan,1,1,1
392,bot,1,1,1
393,nu’udar,209,1,209
394,putera,1,1,1
395,númeru,97,1,97
396,mota,37,1,37
397,farda,4,1,4
398,mina-rai,3,1,3
399,livru,17,1,17
400,poster,3,1,3
401,ikatan,1,1,1
402,esa,1,1,1
403,kovalima,43,1,43
404,karreta,1,1,1
405,treinadór,1,1,1
406,identifikasaun,16,1,16
407,iks-ptl,2,1,2
408,patrullamentu,23,1,23
409,ranting,1,1,1
410,mocrolete,1,1,1
411,fasilita,39,1,39
412,keluarga,1,1,1
413,operasaun,45,1,45
414,logo,2,1,2
415,lidera,26,1,26
416,silat,1,1,1
417,prende,15,1,15
418,gorotu,1,1,1
419,na’in,86,1,86
420,tama,98,1,98
421,tafara,1,1,1
422,lalawa,1,1,1
423,puscam,1,1,1
424,kamizola,1,1,1
425,matríkula,4,1,4
426,sertifikadu,10,1,10
427,kalung,1,1,1
428,tabolo,1,1,1
429,marsiál,5,1,5
430,same,49,1,49
431,salele-wetaba,1,1,1
432,suku,246,1,246
433,arte,19,1,19
434,ha’u-nia,25,1,25
435,inisiativa,21,1,21
436,meiu,10,1,10
437,inísiu,11,1,11
438,agrikultura,28,1,28
439,ambiente,29,1,29
440,prezidente,280,1,280
441,ké,1,1,1
442,ninian,23,1,23
443,moris,85,1,85
444,tersa,30,1,30
445,francisco,117,1,117
446,peska,14,1,14
447,forma,18,1,18
448,kompromisu,11,1,11
449,ai-oan,16,1,16
450,teritóriu,44,1,44
451,moto,1,1,1
452,kampaña,27,1,27
453,kuda,32,1,32
454,lú,89,1,89
455,guterres,95,1,95
456,kada,76,1,76
457,lopes,18,1,18
458,simbolikamente,2,1,2
459,bei-oan,4,1,4
460,tebes,110,1,110
461,fatin,240,1,240
462,ai-kameli,9,1,9
463,sidadaun,110,1,110
464,povu,71,1,71
465,asaun,32,1,32
466,resintu,9,1,9
467,diresaun,60,1,60
468,hatete,17,1,17
469,osuáriu,5,1,5
470,simbólika,1,1,1
471,programa,119,1,119
472,haree,118,1,118
473,oinsá,57,1,57
474,maluk,20,1,20
475,mai,244,1,244
476,uluk,47,1,47
477,floresta,1,1,1
478,atinji,2,1,2
479,saudavel,2,1,2
480,ida’,1,1,1
481,sustentavel,2,1,2
482,apela,41,1,41
483,ida',1,1,1
484,liuliu,106,1,106
485,alberto,1,1,1
486,olo,88,1,88
487,hori,1,1,1
488,polítiku,10,1,10
489,duni,54,1,54
490,hotu-hotu,112,1,112
491,nafatin,114,1,114
492,apresia,5,1,5
493,vontade,10,1,10
494,novembru,91,1,91
495,diretór,131,1,131
496,ita-nian,2,1,2
497,pr,83,1,83
498,ida-idak,37,1,37
499,hatudu,54,1,54
500,promove,27,1,27
501,dada,26,1,26
502,kontente,27,1,27
503,tebetebes,4,1,4
504,hanaran,7,1,7
505,maun-alin,5,1,5
506,realiza,102,1,102
507,onradu,2,1,2
508,sente,57,1,57
509,netik,8,1,8
510,dalan,57,1,57
511,vizita,51,1,51
512,ernesto,12,1,12
513,barreto,8,1,8
514,kasu,2,1,2
515,liu,219,1,219
516,loes,2,1,2
517,reinu,8,1,8
518,oliveira,4,1,4
519,señor,4,1,4
520,jináziu,2,1,2
521,barak,130,1,130
522,primeira,6,1,6
523,haksolok,5,1,5
524,inan,40,1,40
525,autoridade,102,1,102
526,kultura,30,1,30
527,muito,1,1,1
528,olo',1,1,1
529,foin,49,1,49
530,vez,1,1,1
531,ha’u,183,1,183
532,bobonaro,2,1,2
533,hato’o,169,1,169
534,lia,8,1,8
535,feton,4,1,4
536,obrigadu,10,1,10
537,liafuan,13,1,13
538,traballu,13,1,13
539,hakuak,1,1,1
540,administradór,28,1,28
541,durante,148,1,148
542,espoza,19,1,19
543,maka,4,1,4
544,preokupasaun,29,1,29
545,atabae,11,1,11
546,diálogu,6,1,6
547,mate,116,1,116
548,lobatu,1,1,1
549,família,120,1,120
550,susar,22,1,22
551,darwin,4,1,4
552,nikolau,1,1,1
553,traballadór,45,1,45
554,exteriór,5,1,5
555,kondolénsia,8,1,8
556,vida,16,1,16
557,maria,37,1,37
558,dnee,9,1,9
559,sefope,40,1,40
560,seasonal,1,1,1
561,deus,8,1,8
562,empregu,28,1,28
563,situasaun,97,1,97
564,reprezenta,20,1,20
565,tradisaun,2,1,2
566,matebian,24,1,24
567,sentidu,3,1,3
568,letefoho,14,1,14
569,profesionál,1,1,1
570,insidente,5,1,5
571,lakon,33,1,33
572,sekretáriu,48,1,48
573,ekipa,126,1,126
574,airnorth,2,1,2
575,fulan,132,1,132
576,ermera,67,1,67
577,rezulta,18,1,18
578,worker,1,1,1
579,gorete,1,1,1
580,rai-lakan,1,1,1
581,akontese,94,1,94
582,dukurai,1,1,1
583,program,5,1,5
584,aviaun,8,1,8
585,swp,1,1,1
586,germenino,3,1,3
587,enkoraja,19,1,19
588,profundu,2,1,2
589,isin,3,1,3
590,serimónia,70,1,70
591,austrália,65,1,65
592,funerál,5,1,5
593,estadu,245,1,245
594,hasoru,115,1,115
595,diretamente,3,1,3
596,jullu,110,1,110
597,forsa,40,1,40
598,filomeno,24,1,24
599,royal,3,1,3
600,bee,70,1,70
601,relevante,11,1,11
602,maka’as,36,1,36
603,konsiénsia,15,1,15
604,lata,3,1,3
605,moras,96,1,96
606,vidal,4,1,4
607,dengue,4,1,4
608,aedes,1,1,1
609,relasiona,71,1,71
610,tata,1,1,1
611,departamentu,25,1,25
612,udan,46,1,46
613,tempu,117,1,117
614,evita,34,1,34
615,husik,14,1,14
616,hún,2,1,2
617,rejista,63,1,63
618,tratamentu,40,1,40
619,labarik,64,1,64
620,saudável,8,1,8
621,mamuk,3,1,3
622,jardín,3,1,3
623,jornalista,95,1,95
624,kazu,203,1,203
625,komunidade,328,1,328
626,hakoi,6,1,6
627,hamate,14,1,14
628,tenke,220,1,220
629,jesus,33,1,33
630,emerjénsia,66,1,66
631,uma,147,1,147
632,portugés,71,1,71
633,tiha,210,1,210
634,fo’er,25,1,25
635,loos,35,1,35
636,susuk,2,1,2
637,nalihun,3,1,3
638,labele,162,1,162
639,prodúz,25,1,25
640,aegypti,1,1,1
641,promosaun,4,1,4
642,xefe,138,1,138
643,stae,10,1,10
644,carvalho,13,1,13
645,partisipasaun,16,1,16
646,prepara,59,1,59
647,mae,16,1,16
648,propoin,12,1,12
649,hakarak,88,1,88
650,eleisaun,25,1,25
651,esforsu,22,1,22
652,pur-volta,1,1,1
653,sekretaria,26,1,26
654,aumenta,43,1,43
655,la,387,1,387
656,estatál,17,1,17
657,palásiu,88,1,88
658,estasaun,16,1,16
659,komisaun,48,1,48
660,votu,24,1,24
661,hasa'e,3,1,3
662,cne,7,1,7
663,votasaun,18,1,18
664,votante,4,1,4
665,miguel,21,1,21
666,taxa,25,1,25
667,administrasaun,50,1,50
668,signifika,9,1,9
669,vota,10,1,10
670,prezidensiál,56,1,56
671,malu,94,1,94
672,eleitorál,12,1,12
673,ai-moruk,15,1,15
674,odete,38,1,38
675,lori,126,1,126
676,fma,1,1,1
677,serbísu,1,1,1
678,freitas,36,1,36
679,apoia,44,1,44
680,distrubuisaun,1,1,1
681,rurál,30,1,30
682,la’os,62,1,62
683,jerál,110,1,110
684,ida-ne’e,6,1,6
685,sames,4,1,4
686,pasifiku,1,1,1
687,sudeste,7,1,7
688,oferese,23,1,23
689,ministra,61,1,61
690,distribui,9,1,9
691,díli,32,1,32
692,madre,2,1,2
693,depende,10,1,10
694,ou,5,1,5
695,international,9,1,9
696,ekipamentu,22,1,22
697,aloka,8,1,8
698,autónomo,1,1,1
699,kuartél,12,1,12
700,japan,3,1,3
701,shinya,1,1,1
702,tamio,1,1,1
703,tutan,3,1,3
704,transporte,57,1,57
705,jestaun,75,1,75
706,médikamentu,1,1,1
707,truckbox,2,1,2
708,bá,3,1,3
709,divizaun,5,1,5
710,termu,4,1,4
711,jica,8,1,8
712,agency,4,1,4
713,cooperation,4,1,4
714,japaun,20,1,20
715,apoiu,135,1,135
716,tulun,27,1,27
717,hatutan,17,1,17
718,oportunidade,29,1,29
719,monitorizasaun,9,1,9
720,cesarino,1,1,1
721,sejd,29,1,29
722,fatuberliu,7,1,7
723,fali,118,1,118
724,alas,9,1,9
725,nune'e,18,1,18
