Source, Target,Type,Weight
astrazeneca, durante,Directed,1
durante, loron,Directed,1
loron, tanba,Directed,1
tanba, iha,Directed,1
iha, feto,Directed,1
feto, ida,Directed,1
ida, ho,Directed,1
ho, idade,Directed,1
idade, mate,Directed,1
mate, kauza,Directed,1
kauza, hosi,Directed,1
hosi, konjelamentu,Directed,1
konjelamentu, raan,Directed,1
raan, hafoin,Directed,1
hafoin, nia,Directed,1
nia, simu,Directed,1
simu, tiha,Directed,1
tiha, vasinasaun,Directed,1
vasinasaun, ho,Directed,1
ho, vasina,Directed,1
vasina, astrazeneca,Directed,1
astrazeneca, ministru,Directed,1
ministru, saúde,Directed,1
saúde, dinamarka,Directed,1
dinamarka, magnus,Directed,1
magnus, heunicke,Directed,1
heunicke, haktuir,Directed,1
haktuir, seidauk,Directed,1
seidauk, posivel,Directed,1
posivel, atu,Directed,1
atu, konklui,Directed,1
konklui, kona-ba,Directed,1
kona-ba, kazu,Directed,1
kazu, hirak,Directed,1
hirak, ne’e,Directed,1
ne’e, iha,Directed,1
iha, relasaun,Directed,1
relasaun, ho,Directed,1
ho, vasina,Directed,1
vasina, astrazeneca,Directed,1
astrazeneca, ka,Directed,1
ka, lae,Directed,1
lae, maibé,Directed,1
maibé, suspensaun,Directed,1
suspensaun, ne’e,Directed,1
ne’e, atu,Directed,1
atu, prevene,Directed,1
prevene, hodi,Directed,1
hodi, hein,Directed,1
hein, informasaun,Directed,1
informasaun, loloos,Directed,1
loloos, hafoin,Directed,1
hafoin, investigasaun,Directed,1
investigasaun, nasaun,Directed,1
nasaun, seluk,Directed,1
seluk, iha,Directed,1
iha, europa,Directed,1
europa, hanesan,Directed,1
hanesan, áustria,Directed,1
áustria, noruega,Directed,1
noruega, islándia,Directed,1
islándia, estónia,Directed,1
estónia, lituánia,Directed,1
lituánia, luxemburgu,Directed,1
luxemburgu, no,Directed,1
no, letónia,Directed,1
letónia, mós,Directed,1
mós, foti,Directed,1
foti, asaun,Directed,1
asaun, ne’ebé,Directed,1
ne’ebé, hanesan,Directed,1
hanesan, ho,Directed,1
ho, dinamarka,Directed,1
dinamarka, katak,Directed,1
katak, suspende,Directed,1
suspende, mós,Directed,1
mós, aplikasaun,Directed,1
