id,Label,tf,df,tdf,stopword
222,voltado,8,8,64,0
223,volta,127,126,16002,0
224,voem,2,2,4,0
225,vocês,751,643,482893,1
226,você,1124,856,962144,1
227,vocações,1,1,1,0
228,vocação,5,5,25,0
229,voava,1,1,1,0
230,voar,2,2,4,0
231,voa,3,3,9,0
232,viúvas,22,19,418,0
233,viúva,31,29,899,0
234,vizinhos,18,18,324,0
235,vizinho,4,4,16,0
236,vizinhas,7,7,49,0
237,vizinhança,1,1,1,0
238,vivíeis,1,1,1,0
239,vivíamos,2,2,4,0
240,vivêssemos,1,1,1,0
241,vivos,34,34,1156,0
242,vivo,49,47,2303,0
243,vivificante,1,1,1,0
244,vivido,12,12,144,0
245,vividas,1,1,1,0
246,viviam,24,23,552,0
247,vivia,21,20,420,0
248,vivi,2,2,4,0
249,viveu,16,16,256,0
250,vivessem,2,2,4,0
251,vivesse,2,2,4,0
252,vives,1,1,1,0
253,viveríamos,2,2,4,0
254,viverão,7,7,49,0
255,viverás,1,1,1,0
256,viverá,9,9,81,0
257,vivermos,12,12,144,0
258,viveremos,3,3,9,0
259,viverem,7,7,49,0
260,viverdes,1,1,1,0
261,viveram,10,10,100,0
262,viver,226,215,48590,0
263,viventes,15,15,225,0
264,vivente,24,21,504,0
265,vivendo,20,20,400,0
266,vivemos,38,37,1406,0
267,vivem,47,45,2115,0
268,viveis,2,2,4,0
269,vivei,1,1,1,0
270,vive,46,43,1978,0
271,vivas,5,5,25,0
272,vivamos,7,7,49,0
273,vivam,15,15,225,0
274,vivais,1,1,1,0
275,viva,23,23,529,0
276,viuvez,1,1,1,0
277,viu,137,131,17947,0
278,vitórias,2,2,4,0
279,vitória,20,18,360,0
280,vitoriosos,3,3,9,0
281,vitorioso,3,3,9,0
282,vitoriosa,1,1,1,0
283,vitelo,3,3,9,0
284,vitaminas,2,2,4,0
285,vitalidade,1,1,1,0
286,vital,4,4,16,0
287,visões,2,2,4,0
288,visível,8,8,64,0
289,visíveis,8,8,64,0
290,visão,39,39,1521,0
291,visualizar,1,1,1,0
292,vistos,11,9,99,0
293,visto,137,135,18495,0
294,vistes,3,3,9,0
295,viste,2,2,4,0
296,vistas,15,10,150,0
297,vista,123,120,14760,0
298,vissem,5,5,25,0
299,visse,4,4,16,0
300,visivelmente,2,2,4,0
301,visitou,3,3,9,0
302,visiteis,1,1,1,0
303,visitei,1,1,1,0
304,visite,1,1,1,0
305,visitavam,1,1,1,0
306,visitava,4,4,16,0
307,visitasse,1,1,1,0
308,visitas,7,7,49,0
309,visitares,2,2,4,0
310,visitar,26,26,676,0
311,visitantes,6,6,36,0
312,visitando,2,2,4,0
313,visitamos,2,2,4,0
314,visitam,2,2,4,0
315,visitados,1,1,1,0
316,visita,7,7,49,0
317,visar,1,1,1,0
318,visando,13,10,130,0
319,virão,20,20,400,0
320,virá,43,43,1849,0
321,virtuoso,1,1,1,0
322,virtude,3,2,6,0
323,virtual,1,1,1,0
324,virou,3,3,9,0
325,viriam,2,2,4,0
326,viria,7,7,49,0
327,virgens,3,3,9,0
328,virgem,14,13,182,0
329,vires,1,1,1,0
330,viremos,1,1,1,0
331,virem,9,9,81,0
332,virei,5,5,25,0
333,vire,1,1,1,0
334,virar,2,2,4,0
335,viram,80,76,6080,0
336,viragem,1,1,1,0
337,virado,2,2,4,0
338,virada,2,2,4,0
339,vira,2,2,4,0
340,vir,60,59,3540,0
341,violências,1,1,1,0
342,violência,12,12,144,0
343,violentos,1,1,1,0
344,violento,6,6,36,0
345,violentas,4,4,16,0
346,violentamente,1,1,1,0
347,violenta,6,6,36,0
348,violem,1,1,1,0
349,viole,1,1,1,0
350,violação,1,1,1,0
351,violar,2,2,4,0
352,violam,4,4,16,0
353,vinte,6,6,36,0
354,vinho,71,65,4615,0
355,vinhedos,1,1,1,0
356,vinhedo,27,20,540,0
357,vinhatéiros,1,1,1,0
358,vinhas,1,1,1,0
359,vinham,15,15,225,0
360,vinha,19,19,361,0
361,vinguem,1,1,1,0
362,vingou,1,1,1,0
363,vingativo,1,1,1,0
364,vingar,2,2,4,0
365,vingança,12,12,144,0
366,vingamos,1,1,1,0
367,vingado,1,1,1,0
368,vindouro,1,1,1,0
