id,Label,tf,df,tdf,stopword
4352,pregaram,5,5,25,0
4353,pregar,135,125,16875,0
4354,pregando,20,20,400,0
4355,pregamos,18,18,324,0
4356,pregam,14,14,196,0
4357,pregadores,5,5,25,0
4358,pregador,7,6,42,0
4359,pregado,8,8,64,0
4360,pregadas,10,10,100,0
4361,pregada,4,4,16,0
4362,prega,4,4,16,0
4363,prefiro,6,6,36,0
4364,prefiram,1,1,1,0
4365,preferências,2,2,4,0
4366,preferência,1,1,1,0
4367,preferiu,2,2,4,0
4368,preferisse,1,1,1,0
4369,preferiram,2,2,4,0
4370,preferimos,1,1,1,0
4371,preferido,1,1,1,0
4372,preferia,1,1,1,0
4373,preferem,3,3,9,0
4374,preenchi,3,3,9,0
4375,preenche,1,1,1,0
4376,preditos,1,1,1,0
4377,predito,4,4,16,0
4378,predisseram,1,1,1,0
4379,predisse,10,10,100,0
4380,predileto,1,1,1,0
4381,predeterminou,4,4,16,0
4382,predefinido,1,1,1,0
4383,precário,1,1,1,0
4384,precursor,1,1,1,0
4385,preconceituosas,1,1,1,0
4386,preconceito,14,13,182,0
4387,precisão,1,1,1,0
4388,precisávamos,1,1,1,0
4389,precisássemos,1,1,1,0
4390,precisou,16,16,256,0
4391,preciso,46,45,2070,0
4392,precisemos,2,2,4,0
4393,precisem,2,2,4,0
4394,precisei,2,2,4,0
4395,precise,1,1,1,0
4396,precisavam,17,17,289,0
4397,precisava,36,35,1260,0
4398,precisassem,1,1,1,0
4399,precisarão,1,1,1,0
4400,precisará,1,1,1,0
4401,precisarmos,4,4,16,0
4402,precisariam,9,9,81,0
4403,precisaria,2,2,4,0
4404,precisarem,1,1,1,0
4405,precisaram,4,4,16,0
4406,precisar,12,12,144,0
4407,precisando,1,1,1,0
4408,precisamos,230,226,51980,0
4409,precisamente,2,2,4,0
4410,precisam,112,104,11648,0
4411,precisais,1,1,1,0
4412,precisa,114,109,12426,0
4413,precipitou,1,1,1,0
4414,precipitar,1,1,1,0
4415,precipitadamente,1,1,1,0
4416,preciosos,10,10,100,0
4417,precioso,28,28,784,0
4418,preciosas,16,15,240,0
4419,preciosa,11,11,121,0
4420,preces,1,1,1,0
4421,preceitos,5,5,25,0
4422,precedido,1,1,1,0
4423,precederemos,1,1,1,0
4424,praças,10,10,100,0
4425,praça,3,3,9,0
4426,prazo,5,5,25,0
4427,prazeres,10,10,100,0
4428,prazer,25,25,625,0
4429,pratos,4,2,8,0
4430,prato,3,3,9,0
4431,pratiquem,6,6,36,0
4432,pratique,4,4,16,0
4433,pratico,4,4,16,0
4434,praticavas,1,1,1,0
4435,praticavam,3,3,9,0
4436,praticava,1,1,1,0
4437,praticas,1,1,1,0
4438,praticarmos,1,1,1,0
4439,praticaram,1,1,1,0
4440,praticar,17,16,272,0
4441,praticando,5,5,25,0
4442,praticamos,4,4,16,0
4443,praticamente,1,1,1,0
4444,praticam,27,20,540,0
4445,praticado,1,1,1,0
4446,praticadas,2,2,4,0
4447,pratica,29,25,725,0
4448,prateada,2,2,4,0
4449,prata,18,18,324,0
4450,praias,2,2,4,0
4451,praia,9,9,81,0
4452,pragas,11,11,121,0
4453,praga,6,5,30,0
4454,pra,9,9,81,0
4455,pp,8,8,64,0
4456,poços,3,3,9,0
4457,poço,12,9,108,0
4458,povos,79,77,6083,0
4459,povoação,3,3,9,0
4460,povoariam,2,2,4,0
4461,povoar,2,2,4,0
4462,povoados,2,2,4,0
4463,povoado,1,1,1,0
4464,povoa,1,1,1,0
4465,povo,590,556,328040,0
4466,pousar,2,2,4,0
4467,pouquíssimo,2,2,4,0
4468,pouquinho,1,1,1,0
4469,poupou,3,3,9,0
4470,poupava,2,2,4,0
4471,poupará,1,1,1,0
4472,pouparei,1,1,1,0
4473,poupar,1,1,1,0
4474,poucos,48,44,2112,0
4475,pouco,142,135,19170,0
4476,poucas,10,10,100,0
4477,pouca,15,15,225,0
4478,potências,1,1,1,0
4479,potência,14,12,168,0
4480,potifar,3,3,9,0
4481,potencial,2,2,4,0
4482,postos,5,5,25,0
4483,posto,16,16,256,0
4484,posteriores,1,1,1,0
4485,postar,1,1,1,0
4486,postam,1,1,1,0
4487,postados,1,1,1,0
4488,postadas,1,1,1,0
4489,posta,2,2,4,0
4490,possível,117,115,13455,0
4491,possíveis,10,10,100,0
4492,possuímos,3,3,9,0
4493,possuídos,2,2,4,0
4494,possuído,4,4,16,0
4495,possuídas,2,2,4,0
4496,possuída,1,1,1,0
4497,possuía,5,5,25,0
4498,possuirão,1,1,1,0
4499,possuir,7,7,49,0
4500,possuindo,1,1,1,0
4501,possui,3,3,9,0
4502,possuem,3,3,9,0
4503,posso,36,34,1224,0
4504,possivelmente,1,1,1,0
4505,possibilitar,1,1,1,0
4506,possibilita,1,1,1,0
4507,possibilidade,6,6,36,0
4508,possessos,4,4,16,0
4509,possesso,6,6,36,0
4510,possessas,1,1,1,0
4511,posses,6,6,36,0
4512,posse,3,3,9,0
4513,possamos,9,9,81,0
4514,possam,32,32,1024,0
4515,possais,1,1,1,0
4516,possa,30,30,900,0
4517,posições,2,2,4,0
4518,posição,13,13,169,0
4519,positivos,5,5,25,0
4520,positivo,6,6,36,0
4521,positivas,2,2,4,0
4522,positiva,2,2,4,0
4523,pos,5,5,25,0
4524,porém,174,173,30102,0
4525,porções,2,2,4,0
4526,porção,5,5,25,0
4527,porão,1,1,1,0
4528,porá,1,1,1,0
4529,porventura,2,2,4,0
4530,portões,14,8,112,0
4531,portão,3,3,9,0
4532,português,7,6,42,0
4533,portugueses,1,1,1,0
4534,porto,6,6,36,0
4535,porteiro,1,1,1,0
4536,portas,15,15,225,0
4537,portanto,224,223,49952,0
4538,porta,32,31,992,0
4539,porquê,12,12,144,0
4540,porque,956,914,873784,0
4541,porpessoassingulares,1,1,1,0
4542,pormenor,1,1,1,0
4543,porlei,2,2,4,0
4544,porem,2,2,4,0
4545,porei,6,6,36,0
4546,porcos,20,14,280,0
4547,porca,1,1,1,0
4548,pora,1,1,1,0
4549,por,4151,3499,14524349,1
4550,populações,1,1,1,0
4551,população,4,4,16,0
4552,popa,2,2,4,0
4553,pontuação,1,1,1,0
4554,pontos,28,27,756,0
4555,ponto,87,85,7395,0
4556,pontius,1,1,1,0
4557,pontinha,2,2,4,0
4558,pontiagudas,1,1,1,0
4559,ponta,2,2,4,0
4560,ponho,5,5,25,0
4561,ponhas,4,4,16,0
4562,ponhamos,1,1,1,0
4563,ponham,6,6,36,0
4564,ponhais,1,1,1,0
4565,ponha,8,8,64,0
4566,pondo,2,2,4,0
4567,poncio,1,1,1,0
4568,pomposas,1,1,1,0
4569,pomos,2,2,4,0
4570,pombos,1,1,1,0
4571,pombinha,1,1,1,0
4572,pombas,6,6,36,0
4573,pomba,9,9,81,0
4574,pomada,1,1,1,0
4575,polônia,1,1,1,0
4576,políticos,13,13,169,0
4577,político,13,13,169,0
4578,políticas,1,1,1,0
4579,política,17,17,289,0
4580,polígamos,1,1,1,0
4581,polígamo,2,2,4,0
4582,polícia,1,1,1,0
4583,poluido,1,1,1,0
4584,poligamia,5,5,25,0
4585,policial,5,5,25,0
4586,poli,2,2,4,0
4587,poisar,2,2,4,0
4588,poisam,1,1,1,0
4589,pois,885,847,749595,0
4590,point,1,1,1,0
4591,poeira,3,3,9,0
4592,podíamos,1,1,1,0
4593,podre,1,1,1,0
4594,podiamos,1,1,1,0
4595,podiam,38,36,1368,0
4596,podia,79,77,6083,0
4597,podessem,1,1,1,0
4598,podeser,1,1,1,0
4599,podes,6,6,36,0
4600,poderíamos,3,3,9,0
4601,poderão,14,11,154,0
4602,poderás,1,1,1,0
4603,poderános,1,1,1,0
4604,poderá,26,26,676,0
4605,poderosos,16,16,256,0
4606,poderoso,28,28,784,0
4607,poderosas,18,18,324,0
4608,poderosamente,2,2,4,0
4609,poderosa,16,16,256,0
4610,podermos,6,6,36,0
4611,poderiam,29,28,812,0
4612,poderia,73,70,5110,0
4613,poderes,14,12,168,0
4614,poderemos,20,20,400,0
4615,poderem,4,4,16,0
4616,podereis,1,1,1,0
4617,podera,3,2,6,0
4618,poder,210,202,42420,0
4619,podemos,641,618,396138,0
4620,podem,299,290,86710,0
4621,podeis,3,3,9,0
4622,pode,784,726,569184,0
4623,poca,1,1,1,0
4624,pobreza,7,7,49,0
4625,pobres,74,73,5402,0
4626,pobre,45,45,2025,0
4627,po,1,1,1,0
4628,plínio,1,1,1,0
4629,plumptre,1,1,1,0
4630,pleno,15,15,225,0
4631,plenitude,6,6,36,0
4632,plenamente,48,46,2208,0
4633,plena,23,23,529,0
4634,planícies,1,1,1,0
4635,planície,1,1,1,0
4636,plantou,8,8,64,0
4637,plantei,2,2,4,0
4638,plantação,1,1,1,0
4639,plantavam,1,1,1,0
4640,plantastes,1,1,1,0
4641,plantas,12,11,132,0
4642,plantariam,2,2,4,0
4643,plantar,6,6,36,0
4644,plantado,1,1,1,0
4645,plantada,2,2,4,0
4646,planta,18,17,306,0
4647,planos,7,7,49,0
4648,plano,7,6,42,0
4649,planetas,3,3,9,0
4650,planeta,4,4,16,0
4651,planejarão,1,1,1,0
4652,planejar,1,1,1,0
4653,planejando,2,2,4,0
4654,planejamento,2,2,4,0
4655,planeei,1,1,1,0
4656,planeava,2,1,2,0
4657,placas,3,3,9,0
4658,pisídia,1,1,1,0
4659,piscina,1,1,1,0
4660,piscar,3,3,9,0
4661,pisarão,1,1,1,0
4662,pisarem,1,1,1,0
4663,pisar,2,1,2,0
4664,pisado,5,5,25,0
4665,pisadas,3,3,9,0
4666,pisada,1,1,1,0
4667,pisa,1,1,1,0
4668,piquenique,1,1,1,0
4669,piorou,1,1,1,0
4670,piores,6,6,36,0
4671,piorem,2,2,4,0
4672,piorava,1,1,1,0
4673,piorar,4,4,16,0
4674,piorando,1,1,1,0
4675,pior,28,28,784,0
4676,pioneiros,25,24,600,0
4677,pioneiro,30,25,750,0
4678,pioneira,6,6,36,0
4679,pintar,1,1,1,0
4680,pintainhos,2,2,4,0
4681,piloto,1,1,1,0
4682,pilatus,1,1,1,0
4683,pilatos,47,43,2021,0
4684,pilar,1,1,1,0
4685,piedoso,4,4,16,0
4686,piedosas,1,1,1,0
4687,piedosa,1,1,1,0
4688,piedade,5,5,25,0
4689,pianos,2,2,4,0
4690,piano,1,1,1,0
4691,piada,2,1,2,0
4692,philip,3,3,9,0
4693,philbrick,1,1,1,0
4694,peço,2,2,4,0
4695,peças,2,2,4,0
4696,peçamos,5,5,25,0
4697,peçam,5,5,25,0
4698,peça,23,20,460,0
4699,pezze,1,1,1,0
4700,petição,2,2,4,0
4701,peter,8,6,48,0
4702,pesvsoas,1,1,1,0
4703,pestilências,2,2,4,0
4704,peste,1,1,1,0
4705,pessoassingulares,4,4,16,0
4706,pessoascolectivas,1,1,1,0
4707,pessoas,991,926,917666,0
4708,pessoalmente,22,22,484,0
4709,pessoal,29,29,841,0
4710,pessoais,7,7,49,0
4711,pessoa,443,421,186503,0
4712,pesquisas,6,6,36,0
4713,pesquisar,4,4,16,0
4714,pesquisamos,1,1,1,0
4715,pesquisam,2,2,4,0
4716,pesquisadores,3,3,9,0
4717,pesquisa,8,7,56,0
4718,pesos,1,1,1,0
4719,peso,15,15,225,0
4720,pescoço,7,7,49,0
4721,pescaria,2,2,4,0
4722,pescares,1,1,1,0
4723,pescaram,2,2,4,0
4724,pescar,4,4,16,0
4725,pescadores,18,16,288,0
4726,pescador,3,3,9,0
4727,pescado,1,1,1,0
4728,pesca,1,1,1,0
4729,pesava,2,2,4,0
4730,pesarosos,1,1,1,0
4731,pesar,7,7,49,0
4732,pesados,6,6,36,0
4733,pesado,6,6,36,0
4734,pesadissimos,1,1,1,0
4735,pesadelo,1,1,1,0
4736,pesadas,2,2,4,0
4737,pesada,5,5,25,0
4738,pesa,4,4,16,0
4739,período,26,26,676,0
4740,pervertida,3,3,9,0
4741,perversos,1,1,1,0
4742,perverso,5,5,25,0
4743,perversas,2,2,4,0
4744,perturbar,3,3,9,0
4745,perturbados,1,1,1,0
4746,perturbada,1,1,1,0
4747,perturba,1,1,1,0
4748,perto,95,94,8930,0
4749,pertenço,2,2,4,0
4750,pertençam,1,1,1,0
4751,pertença,1,1,1,0
4752,perteneia,1,1,1,0
4753,pertenciam,5,4,20,0
4754,pertencia,7,7,49,0
4755,pertencerem,3,3,9,0
4756,pertencer,2,2,4,0
4757,pertencendo,1,1,1,0
4758,pertencemos,7,7,49,0
4759,pertencem,28,27,756,0
4760,pertenceis,1,1,1,0
4761,pertence,33,30,990,0
4762,persuasão,2,2,4,0
4763,persuasivos,1,1,1,0
4764,persuasivas,1,1,1,0
4765,persuadir,2,2,4,0
4766,persuadidos,1,1,1,0
4767,persuadido,6,6,36,0
4768,perspicaz,1,1,1,0
4769,personalidades,7,7,49,0
4770,personalidade,36,32,1152,0
4771,personagens,2,2,4,0
4772,persistência,1,1,1,0
4773,persistirmos,1,1,1,0
4774,persistirem,2,2,4,0
4775,persistir,2,2,4,0
4776,persistiam,1,1,1,0
4777,persistia,1,1,1,0
4778,persistes,1,1,1,0
4779,persistem,3,3,9,0
4780,persiste,10,10,100,0
4781,persistas,1,1,1,0
4782,persistam,19,16,304,0
4783,persista,6,6,36,0
4784,persigam,1,1,1,0
4785,perseverou,1,1,1,0
4786,perseverem,2,1,2,0
4787,persevere,1,1,1,0
4788,perseverarmos,2,2,4,0
4789,perseverarem,2,2,4,0
4790,perseveraram,17,17,289,0
4791,perseverar,53,53,2809,0
4792,perseverança,71,64,4544,0
4793,perseverantes,5,5,25,0
4794,perseverando,4,4,16,0
4795,perseveramos,6,6,36,0
4796,perseverado,1,1,1,0
4797,persevera,6,6,36,0
4798,perseguições,9,9,81,0
4799,perseguição,35,33,1155,0
4800,perseguiu,4,4,16,0
4801,perseguirão,2,2,4,0
4802,perseguirem,2,2,4,0
4803,perseguiram,8,8,64,0
4804,perseguir,7,7,49,0
4805,perseguidos,17,17,289,0
4806,perseguidores,1,1,1,0
4807,perseguidor,4,4,16,0
4808,perseguido,17,17,289,0
4809,perseguidas,2,2,4,0
4810,perseguiam,4,4,16,0
4811,perseguia,7,7,49,0
4812,persegui,1,1,1,0
4813,persegues,2,2,4,0
4814,perseguem,6,6,36,0
4815,persegue,2,2,4,0
4816,persas,3,3,9,0
4817,persa,4,3,12,0
4818,perplexos,2,2,4,0
4819,perplexo,4,4,16,0
4820,perplexas,1,1,1,0
4821,pernas,2,2,4,0
4822,permito,1,1,1,0
4823,permitiu,17,17,289,0
4824,permitisse,1,1,1,0
4825,permitirão,1,1,1,0
4826,permitirmos,1,1,1,0
4827,permitiria,2,2,4,0
4828,permitirem,1,1,1,0
4829,permitiram,2,2,4,0
4830,permitir,15,15,225,0
4831,permitindo,1,1,1,0
4832,permitimos,2,2,4,0
4833,permitidos,2,2,4,0
4834,permitido,27,26,702,0
4835,permitidas,2,2,4,0
4836,permitiam,3,3,9,0
4837,permitia,9,9,81,0
4838,permite,19,19,361,0
4839,permitame,1,1,1,0
4840,permita,9,9,81,0
4841,permissão,10,10,100,0
4842,permaneças,2,2,4,0
4843,permaneçam,11,11,121,0
4844,permaneça,10,10,100,0
4845,permanentes,1,1,1,0
4846,permanente,4,4,16,0
4847,permanecido,6,6,36,0
4848,permaneciam,1,1,1,0
4849,permanecia,2,2,4,0
4850,permaneceu,3,3,9,0
4851,permanecerão,5,5,25,0
4852,permanecerás,1,1,1,0
4853,permanecerei,1,1,1,0
4854,permaneceram,3,3,9,0
4855,permanecer,16,16,256,0
4856,permanecendo,1,1,1,0
4857,permanecemos,5,5,25,0
4858,permanecem,2,2,4,0
4859,permanecei,2,2,4,0
4860,permanece,49,44,2156,0
4861,periódicas,1,1,1,0
4862,peritos,3,3,9,0
4863,perito,5,5,25,0
4864,peritagem,2,2,4,0
4865,periodicamente,1,1,1,0
4866,perigosos,2,2,4,0
4867,perigoso,7,7,49,0
4868,perigosa,6,6,36,0
4869,perigos,12,12,144,0
4870,perigo,26,26,676,0
4871,perguntou,73,73,5329,0
4872,pergunto,4,4,16,0
4873,perguntemos,5,5,25,0
4874,perguntem,3,3,9,0
4875,perguntei,5,5,25,0
4876,pergunte,13,13,169,0
4877,perguntavam,8,8,64,0
4878,perguntava,3,3,9,0
4879,perguntassem,1,1,1,0
4880,perguntasse,1,1,1,0
4881,perguntas,121,117,14157,0
4882,perguntarmos,1,1,1,0
4883,perguntarem,2,2,4,0
4884,perguntaram,22,22,484,0
4885,perguntar,39,39,1521,0
4886,perguntando,6,6,36,0
4887,perguntamos,1,1,1,0
4888,perguntam,9,8,72,0
4889,perguntado,3,2,6,0
4890,pergunta,42,40,1680,0
4891,pergaminhos,1,1,1,0
4892,perfumes,1,1,1,0
4893,perfume,8,6,48,0
4894,perfumados,1,1,1,0
4895,perfumado,8,8,64,0
4896,perfeição,5,5,25,0
4897,perfeitos,13,13,169,0
4898,perfeito,36,34,1224,0
4899,perfeitas,2,2,4,0
4900,perfeitamente,10,10,100,0
4901,perfeita,12,12,144,0
4902,peregrinos,2,2,4,0
4903,peregrino,2,2,4,0
4904,peregrinações,3,3,9,0
4905,peregrinaqão,1,1,1,0
4906,perecível,9,7,63,0
4907,perecíveis,2,2,4,0
4908,perecer,1,1,1,0
4909,perdão,65,61,3965,0
4910,perdoou,17,17,289,0
4911,perdoo,1,1,1,0
4912,perdonara,1,1,1,0
4913,perdoem,1,1,1,0
4914,perdoei,1,1,1,0
4915,perdoe,4,4,16,0
4916,perdoava,1,1,1,0
4917,perdoasse,1,1,1,0
4918,perdoará,1,1,1,0
4919,perdoarmos,1,1,1,0
4920,perdoarlhes,1,1,1,0
4921,perdoaremos,1,1,1,0
4922,perdoarem,3,2,6,0
4923,perdoardes,3,2,6,0
4924,perdoar,76,74,5624,0
4925,perdoandolhe,1,1,1,0
4926,perdoando,5,5,25,0
4927,perdoamos,10,10,100,0
4928,perdoais,1,1,1,0
4929,perdoai,1,1,1,0
4930,perdoados,27,26,702,0
4931,perdoadores,2,2,4,0
4932,perdoador,1,1,1,0
4933,perdoado,20,18,360,0
4934,perdoadas,2,2,4,0
4935,perdoada,5,5,25,0
4936,perdoa,19,18,342,0
4937,perdidos,3,3,9,0
4938,perdido,23,23,529,0
4939,perdidas,11,10,110,0
4940,perdida,15,15,225,0
4941,perdiam,1,1,1,0
4942,perdia,3,3,9,0
4943,perdi,7,7,49,0
4944,perdeu,24,24,576,0
4945,perdessem,4,4,16,0
4946,perdesse,4,4,16,0
4947,perderá,3,3,9,0
4948,perdermos,1,1,1,0
4949,perderiam,1,1,1,0
4950,perderem,2,2,4,0
4951,perderam,15,15,225,0
4952,perder,62,59,3658,0
4953,perdendo,5,5,25,0
4954,perdemos,2,2,4,0
4955,perdem,1,1,1,0
4956,perde,11,11,121,0
4957,perdas,1,1,1,0
4958,perda,7,6,42,0
4959,percorria,1,1,1,0
4960,percorreu,4,4,16,0
4961,percorrerão,1,1,1,0
4962,percorreram,3,3,9,0
4963,percorrer,3,3,9,0
4964,percorremos,1,1,1,0
4965,percorrem,1,1,1,0
4966,percorre,1,1,1,0
4967,percorra,1,1,1,0
4968,perco,1,1,1,0
4969,percebíamos,1,1,1,0
4970,percebo,1,1,1,0
4971,percebidas,2,2,4,0
4972,percebia,1,1,1,0
4973,percebi,8,8,64,0
4974,percebeu,8,8,64,0
4975,percebessem,1,1,1,0
4976,percebes,1,1,1,0
4977,percebermos,4,4,16,0
4978,perceberem,1,1,1,0
4979,perceberam,9,9,81,0
4980,perceber,22,22,484,0
4981,percebendo,2,2,4,0
4982,percebemos,6,6,36,0
4983,percebem,7,7,49,0
4984,percebe,4,4,16,0
4985,perceba,4,4,16,0
4986,percas,2,2,4,0
4987,percam,4,4,16,0
4988,perca,7,7,49,0
4989,perante,57,56,3192,0
4990,pequenos,26,26,676,0
4991,pequeno,37,37,1369,0
4992,pequeninos,6,6,36,0
4993,pequenina,1,1,1,0
4994,pequenas,17,16,272,0
4995,pequena,24,24,576,0
4996,pequem,1,1,1,0
4997,pequeis,1,1,1,0
4998,pequei,6,6,36,0
4999,peque,5,5,25,0
5000,penísula,1,1,1,0
5001,península,1,1,1,0
5002,pentecostes,27,27,729,0
5003,pensámos,2,2,4,0
5004,pensou,16,16,256,0
5005,penso,11,11,121,0
5006,pensemos,2,2,4,0
5007,pensem,5,5,25,0
5008,pensei,3,3,9,0
5009,pense,74,71,5254,0
5010,pensavam,16,16,256,0
5011,pensava,11,11,121,0
5012,pensassem,1,1,1,0
5013,pensas,1,1,1,0
5014,pensarão,1,1,1,0
5015,pensarmos,4,4,16,0
5016,pensaria,3,3,9,0
5017,pensarem,1,1,1,0
5018,pensarei,1,1,1,0
5019,pensaram,6,6,36,0
5020,pensar,151,147,22197,0
5021,pensando,34,33,1122,0
5022,pensamos,18,18,324,0
5023,pensamentos,43,41,1763,0
5024,pensamento,18,16,288,0
5025,pensam,20,20,400,0
5026,pensais,1,1,1,0
5027,pensai,1,1,1,0
5028,pensado,2,2,4,0
5029,pensada,1,1,1,0
5030,pensa,39,39,1521,0
5031,penitência,2,2,4,0
5032,penina,4,3,12,0
5033,penhorada,1,1,1,0
5034,penetrais,1,1,1,0
5035,penetra,1,1,1,0
5036,peneiras,1,1,1,0
5037,peneirados,1,1,1,0
5038,pendurámos,1,1,1,0
5039,pendurassem,2,2,4,0
5040,penduraram,1,1,1,0
5041,pendurados,1,1,1,0
5042,pendurado,3,3,9,0
5043,penas,3,3,9,0
5044,penalidade,1,1,1,0
5045,penal,1,1,1,0
5046,pena,56,54,3024,0
5047,pemba,1,1,1,0
5048,pelos,266,243,64638,1
5049,pelo,473,447,211431,1
5050,peles,4,3,12,0
5051,pele,6,6,36,0
5052,pelas,108,99,10692,1
5053,pela,413,370,152810,1
5054,peixinhos,3,3,9,0
5055,peixinho,2,2,4,0
5056,peixes,26,23,598,0
5057,peixe,23,20,460,0
5058,peitos,2,2,4,0
5059,peito,18,18,324,0
5060,pegues,2,2,4,0
5061,peguei,2,2,4,0
5062,pegue,2,2,4,0
5063,pegou,23,23,529,0
5064,pego,2,2,4,0
5065,pegarem,1,1,1,0
5066,pegaram,3,3,9,0
5067,pegar,9,9,81,0
5068,pegando,4,4,16,0
5069,pegamos,1,1,1,0
5070,pegam,1,1,1,0
5071,pegai,1,1,1,0
5072,pega,11,11,121,0
5073,peedro,1,1,1,0
5074,pedíamos,2,2,4,0
5075,pedro,178,155,27590,0
5076,pedrinha,1,1,1,0
5077,pedreiros,1,1,1,0
5078,pedreiro,2,2,4,0
5079,pedras,36,34,1224,0
5080,pedra,67,53,3551,0
5081,pediu,44,42,1848,0
5082,pedistes,1,1,1,0
5083,pediste,1,1,1,0
5084,pedissem,1,1,1,0
5085,pedisse,2,2,4,0
5086,pedirá,3,3,9,0
5087,pedirmos,2,2,4,0
5088,pedires,1,1,1,0
5089,pediremos,1,1,1,0
5090,pedirem,7,7,49,0
5091,pediram,8,8,64,0
5092,pedir,83,82,6806,0
5093,pedindo,30,30,900,0
5094,pedimos,21,18,378,0
5095,pedidos,5,5,25,0
5096,pedido,24,24,576,0
5097,pedidas,2,2,4,0
5098,pediam,10,10,100,0
5099,pedia,4,4,16,0
5100,pedi,10,10,100,0
5101,pedem,11,10,110,0
5102,pede,24,23,552,0
5103,pedaços,11,10,110,0
5104,pedaço,5,5,25,0
5105,ped,3,3,9,0
5106,pecámos,2,2,4,0
5107,pecou,9,9,81,0
5108,pecava,2,2,4,0
5109,pecasse,1,1,1,0
5110,pecarmos,2,2,4,0
5111,pecarem,1,1,1,0
5112,pecaram,11,10,110,0
5113,pecar,13,13,169,0
5114,pecando,1,1,1,0
5115,pecamos,7,7,49,0
5116,pecaminosos,1,1,1,0
5117,pecaminoso,2,2,4,0
5118,pecaminosa,1,1,1,0
5119,pecam,3,2,6,0
5120,pecados,176,158,27808,0
5121,pecadores,95,82,7790,0
5122,pecadora,5,5,25,0
5123,pecador,21,20,420,0
5124,pecado,261,216,56376,0
5125,peca,7,7,49,0
5126,pe,1,1,1,0
5127,países,46,45,2070,0
5128,país,101,92,9292,0
5129,pazes,7,7,49,0
5130,paz,270,255,68850,0
5131,pavio,3,3,9,0
5132,pavimento,1,1,1,0
5133,paus,3,3,9,0
5134,paulo,543,501,272043,0
5135,pauladas,1,1,1,0
5136,paula,1,1,1,0
5137,paul,11,9,99,0
5138,pau,2,2,4,0
5139,patterson,1,1,1,0
5140,patrões,2,2,4,0
5141,patrão,15,12,180,0
5142,patry,1,1,1,0
5143,patrióticas,2,2,4,0
5144,patriarcas,3,3,9,0
5145,patriarca,1,1,1,0
5146,patria,6,6,36,0
5147,patmos,2,2,4,0
5148,patinhas,1,1,1,0
5149,patinei,1,1,1,0
5150,patinar,1,1,1,0
5151,patas,2,1,2,0
5152,pastores,47,44,2068,0
5153,pastoreio,4,4,16,0
5154,pastoreiem,1,1,1,0
5155,pastoreiam,1,1,1,0
5156,pastoreia,1,1,1,0
5157,pastoreará,2,2,4,0
5158,pastorear,6,6,36,0
5159,pastoreando,1,1,1,0
5160,pastoral,3,3,9,0
5161,pastor,59,57,3363,0
5162,pasto,1,1,1,0
5163,pastarão,1,1,1,0
5164,pastar,5,5,25,0
5165,pastando,1,1,1,0
5166,pastagens,3,3,9,0
5167,passámos,5,5,25,0
5168,passou,61,59,3599,0
5169,passos,35,33,1155,0
5170,passo,34,33,1122,0
5171,passivos,1,1,1,0
5172,passemos,6,6,36,0
5173,passem,2,2,4,0
5174,passeio,1,1,1,0
5175,passei,6,6,36,0
5176,passeava,1,1,1,0
5177,passe,9,9,81,0
5178,passavam,6,6,36,0
5179,passava,8,8,64,0
5180,passastes,1,1,1,0
5181,passassem,2,2,4,0
5182,passasse,1,1,1,0
5183,passarão,7,4,28,0
5184,passará,4,4,16,0
5185,passaros,2,2,4,0
5186,passarmos,4,4,16,0
5187,passarinho,3,3,9,0
5188,passariam,4,4,16,0
5189,passaria,1,1,1,0
5190,passaremos,1,1,1,0
5191,passarem,4,4,16,0
5192,passarei,3,3,9,0
5193,passaram,30,30,900,0
5194,passar,94,92,8648,0
5195,passaporte,4,2,8,0
5196,passando,24,24,576,0
5197,passamos,14,14,196,0
5198,passam,18,18,324,0
5199,passagem,26,26,676,0
5200,passageiros,2,2,4,0
5201,passageiro,2,2,4,0
5202,passageira,2,2,4,0
5203,passados,11,11,121,0
5204,passado,88,88,7744,0
5205,passadinha,1,1,1,0
5206,passadas,5,5,25,0
5207,passada,5,5,25,0
5208,passa,28,28,784,0
5209,pasmados,3,3,9,0
5210,pascoal,10,8,80,0
5211,pascal,2,2,4,0
5212,paróquia,2,2,4,0
5213,parágrafos,1,1,1,0
5214,parágrafo,146,145,21170,0
5215,parábolas,12,9,108,0
5216,parábola,16,16,256,0
5217,pará,1,1,1,0
5218,parto,6,6,36,0
5219,partium,1,1,1,0
5220,partiu,20,20,400,0
5221,partituras,1,1,1,0
5222,partisse,1,1,1,0
5223,partirem,5,5,25,0
5224,partirei,1,1,1,0
5225,partiram,15,15,225,0
5226,partir,42,42,1764,0
5227,partindo,3,3,9,0
5228,partimos,5,5,25,0
5229,partilhou,1,1,1,0
5230,partilho,1,1,1,0
5231,partilhem,2,2,4,0
5232,partilhe,3,3,9,0
5233,partilhavam,3,3,9,0
5234,partilhava,3,3,9,0
5235,partilharem,2,2,4,0
5236,partilharam,1,1,1,0
5237,partilhar,16,16,256,0
5238,partilhando,7,7,49,0
5239,partilhamos,2,2,4,0
5240,partilham,2,2,4,0
5241,partilhados,1,1,1,0
5242,partilhado,2,2,4,0
5243,partilhada,1,1,1,0
5244,partilha,87,87,7569,0
5245,partidários,4,4,16,0
5246,partidos,2,2,4,0
5247,partido,13,11,143,0
5248,partida,5,5,25,0
5249,particularmente,1,1,1,0
5250,particulares,3,3,9,0
