id,Label,tf,df,tdf
258,susesu,24,1,24
259,ataúru,23,1,23
260,finansia,10,1,10
261,hanesan,359,1,359
262,kapasidade,34,1,34
263,daruak,67,1,67
264,rápido’,1,1,1
265,de,131,1,131
266,partikularmente,2,1,2
267,hala’o,209,1,209
268,timor,216,1,216
269,parte,223,1,223
270,damen,1,1,1
271,uza,133,1,133
272,populasaun,107,1,107
273,viajen,24,1,24
274,o,108,1,108
275,depois,30,1,30
276,empreza,17,1,17
277,news,157,1,157
278,resin,67,1,67
279,troka,18,1,18
280,ró,31,1,31
281,hetan,295,1,295
282,alemaña,10,1,10
283,repúblika,198,1,198
284,ofisialmente,21,1,21
285,olanda,2,1,2
286,automátika,2,1,2
287,eletrisidade,64,1,64
288,implementa,48,1,48
289,modernizasaun,4,1,4
290,enerjia,9,1,9
291,kualidade,33,1,33
292,ribeiro,5,1,5
293,edtl,11,1,11
294,nune’e,265,1,265
295,distribuisaun,18,1,18
296,loron-,2,1,2
297,lobato,19,1,19
298,rekrutamentu,35,1,35
299,objetivu,61,1,61
300,nicolau,23,1,23
301,dezenvolve,24,1,24
302,hahú,129,1,129
303,moderniza,2,1,2
304,dezenvolvimentu,81,1,81
305,kontrolu,19,1,19
306,divulgasaun,56,1,56
307,transmisaun,27,1,27
308,rápidamente,1,1,1
309,tékniku,45,1,45
310,adb,9,1,9
311,sistema,42,1,42
312,preparasaun,23,1,23
313,molok,70,1,70
314,administrativu,12,1,12
315,empréstimu,8,1,8
316,deteta,52,1,52
317,aprovizionamentu,10,1,10
318,garante,22,1,22
319,ajuda,45,1,45
320,determinadu,4,1,4
321,efetividade,1,1,1
322,gomes,23,1,23
323,utilizasaun,5,1,5
324,e,31,1,31
325,fásil,3,1,3
326,rede,11,1,11
327,asina,48,1,48
328,enérjia,1,1,1
329,estabelese,20,1,20
330,outubru,123,1,123
331,banku,8,1,8
332,modernu,2,1,2
333,tau-matan,26,1,26
334,inklui,109,1,109
335,liuhosi,343,1,343
336,p,19,1,19
337,liután,59,1,59
338,reprezentante,39,1,39
339,jere,10,1,10
340,funsionáriu,42,1,42
341,prosesu,102,1,102
342,kapasitasaun,7,1,7
343,avariasaun,2,1,2
344,tiago,1,1,1
345,momentu,20,1,20
346,aeroportu,17,1,17
347,edifísiu,48,1,48
348,akompaña,30,1,30
349,rui,25,1,25
350,finansa,42,1,42
351,liña,42,1,42
352,hadi’a,36,1,36
353,komoro,39,1,39
354,akordu,43,1,43
355,aziátiku,13,1,13
356,ruma,88,1,88
357,falla,2,1,2
358,millaun,90,1,90
359,direita,39,1,39
360,hafoin,213,1,213
361,timoroan,79,1,79
362,sertifikadu,10,1,10
363,nu’udar,209,1,209
364,de’it,216,1,216
365,kalan,30,1,30
366,númeru,97,1,97
367,suai,14,1,14
368,postu,71,1,71
369,beiseuk,2,1,2
370,as,1,1,1
371,salele-wetaba,1,1,1
372,grupu,84,1,84
373,tasi,19,1,19
374,atributu,7,1,7
375,matríkula,4,1,4
376,afirma,40,1,40
377,tama,98,1,98
378,gorotu,1,1,1
379,kovalima,43,1,43
380,tilomar,6,1,6
381,prende,15,1,15
382,osidentál,1,1,1
383,gorotu-same,1,1,1
384,mota,37,1,37
385,q,1,1,1
386,logo,2,1,2
387,farda,4,1,4
388,na’in,86,1,86
389,postu-administrativu,116,1,116
390,masin,2,1,2
391,iks,7,1,7
392,poster,3,1,3
393,tafara,1,1,1
394,tabolo,1,1,1
395,kamizola,1,1,1
396,tdc,1,1,1
397,putera,1,1,1
398,kuarta,31,1,31
399,hatama,26,1,26
400,identifikasaun,16,1,16
401,treinu,2,1,2
402,silat,1,1,1
403,lalawa,1,1,1
404,bravo,2,1,2
405,envelope,1,1,1
406,kalung,1,1,1
407,ami,236,1,236
408,keluarga,1,1,1
409,same,49,1,49
410,iks-ptl,2,1,2
411,mina-rai,3,1,3
412,karreta,1,1,1
413,fasilita,39,1,39
414,marsiál,5,1,5
415,pár,1,1,1
416,arte,19,1,19
417,salele,2,1,2
418,suku,246,1,246
419,operasaun,45,1,45
420,ikatan,1,1,1
421,ranting,1,1,1
422,bot,1,1,1
423,lidera,26,1,26
424,puscam,1,1,1
425,masimidar,1,1,1
426,mocrolete,1,1,1
427,segundu,15,1,15
428,esa,1,1,1
429,pengesahan,1,1,1
430,aldeia,119,1,119
431,patrullamentu,23,1,23
432,treinadór,1,1,1
433,livru,17,1,17
434,forma,18,1,18
435,kada,76,1,76
436,apela,41,1,41
437,asaun,32,1,32
438,inísiu,11,1,11
439,polítiku,10,1,10
440,kompromisu,11,1,11
441,moris,85,1,85
442,diresaun,60,1,60
443,programa,119,1,119
444,ha’u-nia,25,1,25
445,simbólika,1,1,1
446,promove,27,1,27
447,osuáriu,5,1,5
448,ai-oan,16,1,16
449,kuda,32,1,32
450,novembru,91,1,91
451,hatete,17,1,17
452,diretór,131,1,131
453,povu,71,1,71
454,liuliu,106,1,106
455,ida-idak,37,1,37
456,uluk,47,1,47
457,alberto,1,1,1
458,inisiativa,21,1,21
459,peska,14,1,14
460,tersa,30,1,30
461,nafatin,114,1,114
462,hotu-hotu,112,1,112
463,francisco,117,1,117
464,mai,244,1,244
465,ambiente,29,1,29
466,ninian,23,1,23
467,ita-nian,2,1,2
468,ai-kameli,9,1,9
469,duni,54,1,54
470,lopes,18,1,18
471,simbolikamente,2,1,2
472,sidadaun,110,1,110
473,guterres,95,1,95
474,meiu,10,1,10
475,moto,1,1,1
476,lú,89,1,89
477,resintu,9,1,9
478,vontade,10,1,10
479,hatudu,54,1,54
480,kampaña,27,1,27
481,maluk,20,1,20
482,tebes,110,1,110
483,prezidente,280,1,280
484,bei-oan,4,1,4
485,atinji,2,1,2
486,apresia,5,1,5
487,ida',1,1,1
488,olo,88,1,88
489,sustentavel,2,1,2
490,saudavel,2,1,2
491,agrikultura,28,1,28
492,ida’,1,1,1
493,floresta,1,1,1
494,hori,1,1,1
495,haree,118,1,118
496,pr,83,1,83
497,teritóriu,44,1,44
498,fatin,240,1,240
499,oinsá,57,1,57
500,ké,1,1,1
501,tebetebes,4,1,4
502,bobonaro,2,1,2
503,primeira,6,1,6
504,maun-alin,5,1,5
505,inan,40,1,40
506,ernesto,12,1,12
507,liafuan,13,1,13
508,dada,26,1,26
509,foin,49,1,49
510,muito,1,1,1
511,durante,148,1,148
512,hakuak,1,1,1
513,haksolok,5,1,5
514,hato’o,169,1,169
515,jináziu,2,1,2
516,vez,1,1,1
517,netik,8,1,8
518,ha’u,183,1,183
519,oliveira,4,1,4
520,kultura,30,1,30
521,obrigadu,10,1,10
522,sente,57,1,57
523,barreto,8,1,8
524,loes,2,1,2
525,hanaran,7,1,7
526,dalan,57,1,57
527,reinu,8,1,8
528,señor,4,1,4
529,kontente,27,1,27
530,liu,219,1,219
531,barak,130,1,130
532,onradu,2,1,2
533,vizita,51,1,51
534,espoza,19,1,19
535,diálogu,6,1,6
536,maka,4,1,4
537,olo',1,1,1
538,lia,8,1,8
539,kasu,2,1,2
540,autoridade,102,1,102
541,preokupasaun,29,1,29
542,atabae,11,1,11
543,traballu,13,1,13
544,feton,4,1,4
545,administradór,28,1,28
546,realiza,102,1,102
547,situasaun,97,1,97
548,akontese,94,1,94
549,diretamente,3,1,3
550,gorete,1,1,1
551,ekipa,126,1,126
552,germenino,3,1,3
553,maria,37,1,37
554,vida,16,1,16
555,insidente,5,1,5
556,mate,116,1,116
557,dukurai,1,1,1
558,darwin,4,1,4
559,austrália,65,1,65
560,dnee,9,1,9
561,fulan,132,1,132
562,matebian,24,1,24
563,enkoraja,19,1,19
564,kondolénsia,8,1,8
565,royal,3,1,3
566,swp,1,1,1
567,lakon,33,1,33
568,profesionál,1,1,1
569,sekretáriu,48,1,48
570,empregu,28,1,28
571,forsa,40,1,40
572,rai-lakan,1,1,1
573,hasoru,115,1,115
574,susar,22,1,22
575,seasonal,1,1,1
576,tradisaun,2,1,2
577,reprezenta,20,1,20
578,funerál,5,1,5
579,deus,8,1,8
580,nikolau,1,1,1
581,lobatu,1,1,1
582,sefope,40,1,40
583,estadu,245,1,245
584,família,120,1,120
585,traballadór,45,1,45
586,sentidu,3,1,3
587,ermera,67,1,67
588,worker,1,1,1
589,program,5,1,5
590,exteriór,5,1,5
591,rezulta,18,1,18
592,filomeno,24,1,24
593,profundu,2,1,2
594,aviaun,8,1,8
595,serimónia,70,1,70
596,airnorth,2,1,2
597,letefoho,14,1,14
598,isin,3,1,3
599,jullu,110,1,110
600,loos,35,1,35
601,konsiénsia,15,1,15
602,relevante,11,1,11
603,maka’as,36,1,36
604,tempu,117,1,117
605,jornalista,95,1,95
606,uma,147,1,147
607,susuk,2,1,2
608,evita,34,1,34
609,hakoi,6,1,6
610,hamate,14,1,14
611,lata,3,1,3
612,tenke,220,1,220
613,bee,70,1,70
614,hún,2,1,2
615,emerjénsia,66,1,66
616,udan,46,1,46
617,aedes,1,1,1
618,labarik,64,1,64
619,mamuk,3,1,3
620,kazu,203,1,203
621,departamentu,25,1,25
622,tratamentu,40,1,40
623,prodúz,25,1,25
624,aegypti,1,1,1
625,rejista,63,1,63
626,jardín,3,1,3
627,moras,96,1,96
628,tiha,210,1,210
629,nalihun,3,1,3
630,komunidade,328,1,328
631,vidal,4,1,4
632,fo’er,25,1,25
633,xefe,138,1,138
634,saudável,8,1,8
635,relasiona,71,1,71
636,jesus,33,1,33
637,labele,162,1,162
638,tata,1,1,1
639,dengue,4,1,4
640,husik,14,1,14
641,portugés,71,1,71
642,promosaun,4,1,4
643,cne,7,1,7
644,propoin,12,1,12
645,signifika,9,1,9
646,partisipasaun,16,1,16
647,stae,10,1,10
648,prezidensiál,56,1,56
649,votu,24,1,24
650,hasa'e,3,1,3
651,votasaun,18,1,18
652,eleisaun,25,1,25
653,la,387,1,387
654,esforsu,22,1,22
655,palásiu,88,1,88
656,prepara,59,1,59
657,taxa,25,1,25
658,malu,94,1,94
659,aumenta,43,1,43
660,miguel,21,1,21
661,pur-volta,1,1,1
662,komisaun,48,1,48
663,sekretaria,26,1,26
664,carvalho,13,1,13
665,administrasaun,50,1,50
666,votante,4,1,4
667,estatál,17,1,17
668,eleitorál,12,1,12
669,vota,10,1,10
670,estasaun,16,1,16
671,mae,16,1,16
672,hakarak,88,1,88
673,jica,8,1,8
674,la’os,62,1,62
675,divizaun,5,1,5
676,ministra,61,1,61
677,aloka,8,1,8
678,sames,4,1,4
679,international,9,1,9
680,fma,1,1,1
