id,Label,tf,df,tdf
1104,tiru,3,1,3
1105,imi,25,1,25
1106,jeradór,2,1,2
1107,américo,1,1,1
1108,tinan-tinan,4,1,4
1109,ateru,1,1,1
1110,inundasaun,42,1,42
1111,gasta,13,1,13
1112,kompara,20,1,20
1113,besik,55,1,55
1114,mii,1,1,1
1115,ko’alia,46,1,46
1116,laho,3,1,3
1117,semana,39,1,39
1118,taka,26,1,26
1119,ki’ik,19,1,19
1120,kuru,4,1,4
1121,zeferino,1,1,1
1122,liga,17,1,17
1123,halerik,9,1,9
1124,carlos,10,1,10
1125,hariis,4,1,4
1126,halibur,16,1,16
1127,laran-susar,2,1,2
1128,kanu,3,1,3
1129,nesesidade,55,1,55
1130,mii’,1,1,1
1131,marcelina,2,1,2
1132,te’in,2,1,2
1133,lalin,8,1,8
1134,hadeer,3,1,3
1135,paralon,1,1,1
1136,mais,6,1,6
1137,fomentu,3,1,3
1138,haat,29,1,29
1139,iii,12,1,12
1140,uma-laran,17,1,17
1141,tuan,9,1,9
1142,pulsa,28,1,28
1143,idade,87,1,87
1144,ense,2,1,2
1145,sañu,4,1,4
1146,suli,4,1,4
1147,sosa,55,1,55
1148,khunto,5,1,5
1149,konstituisaun,16,1,16
1150,la'os,1,1,1
1151,ba-mai,6,1,6
1152,komum,1,1,1
1153,neineik,1,1,1
1154,destinu,3,1,3
1155,politizadu,1,1,1
1156,organizasaun,33,1,33
1157,unidu,12,1,12
1158,karta,32,1,32
1159,partidarizadu,1,1,1
1160,timor-oan,2,1,2
1161,hare,13,1,13
1162,partidu,15,1,15
1163,akountabilidade,1,1,1
1164,feto,127,1,127
1165,kandidata,7,1,7
1166,berta,6,1,6
1167,difikuldades,1,1,1
1168,deit,2,1,2
1169,politiku,2,1,2
1170,implementasaun,50,1,50
1171,rekursus,1,1,1
1172,asegura,26,1,26
1173,kontribui,30,1,30
1174,jaco,1,1,1
1175,partisipativu,1,1,1
1176,ida-ida,1,1,1
1177,pratika,3,1,3
1178,transparensia,1,1,1
1179,tasi-mane,1,1,1
1180,konta,19,1,19
1181,balun,3,1,3
1182,potensial,1,1,1
1183,anin,27,1,27
1184,direitu,50,1,50
1185,hamosu,27,1,27
1186,uituan,1,1,1
1187,rai-ketan,3,1,3
1188,hikas,79,1,79
1189,institusionál,2,1,2
1190,lideransa,12,1,12
1191,vizaun,3,1,3
1192,facebook,12,1,12
1193,milena,3,1,3
1194,huu,3,1,3
1195,demokrátiku,2,1,2
1196,kandidata-an,3,1,3
1197,mosu,31,1,31
1198,politika,2,1,2
1199,maximiza,1,1,1
1200,lei,74,1,74
1201,publiku,1,1,1
1202,liu-liu,4,1,4
1203,naton,1,1,1
1204,doben,6,1,6
1205,armanda,7,1,7
1206,transformasaun,1,1,1
1207,klaru,21,1,21
1208,instituisoens,1,1,1
1209,independente,9,1,9
1210,didi’ak,17,1,17
1211,rai-hun,1,1,1
1212,minarai,3,1,3
1213,mos,5,1,5
1214,institusional,1,1,1
1215,intensaun,12,1,12
1216,hanoin,51,1,51
1217,diak,1,1,1
1218,nudar,1,1,1
1219,dezafius,1,1,1
1220,kandidatura,6,1,6
1221,internasional,3,1,3
1222,períodiu,1,1,1
1223,tasi-feto,1,1,1
1224,maibe,3,1,3
1225,lia-menon,5,1,5
1226,inkluzivu,2,1,2
1227,rdtl,5,1,5
1228,longuinhos,11,1,11
1229,timorense,3,1,3
1230,restaurasaun,11,1,11
1231,anunsia,12,1,12
1232,carmo,11,1,11
1233,selebra,15,1,15
1234,paulo,7,1,7
1235,dokumentu,19,1,19
1236,rekejitu,1,1,1
1237,balide,6,1,6
1238,kumpri,45,1,45
1239,lesensiamentu,1,1,1
1240,estabelesimentu,12,1,12
1241,konsagra,1,1,1
1242,siénsia,35,1,35
1243,loke,35,1,35
1244,do,26,1,26
1245,autorizasaun,36,1,36
1246,domin,7,1,7
1247,devosaun,1,1,1
1248,uct’,1,1,1
1249,ruanulu,4,1,4
1250,padraun,9,1,9
1251,satisfasaun,2,1,2
1252,afetu,1,1,1
1253,ii,12,1,12
1254,lasu,3,1,3
1255,saun,1,1,1
1256,autoriza,18,1,18
1257,virgilio,6,1,6
1258,messk,36,1,36
1259,ne’ebá,49,1,49
1260,superiór,61,1,61
1261,arkidioseze,4,1,4
1262,santos,30,1,30
1263,arsebispu,5,1,5
1264,jo,30,1,30
1265,parabéns,12,1,12
1266,metropolitanu,1,1,1
1267,ksolok,4,1,4
1268,independénsia,20,1,20
1269,zélia,2,1,2
1270,sivíl,26,1,26
1271,afetadu,17,1,17
1272,sekrétariu,1,1,1
1273,dapur,7,1,7
1274,rísku,1,1,1
1275,relata,118,1,118
1276,sobu,12,1,12
1277,lona,9,1,9
1278,provizoriamente,8,1,8
1279,seps,12,1,12
1280,interina,2,1,2
1281,xavier,2,1,2
1282,nunes,1,1,1
1283,diretora,11,1,11
1284,materiál,15,1,15
1285,hahán,9,1,9
1286,vítima,59,1,59
1287,estragu,2,1,2
1288,verifikasaun,9,1,9
1289,fahiluha,1,1,1
1290,protesaun,27,1,27
1291,estragus,19,1,19
1292,tenderizasaun,7,1,7
1293,infraestrutura,17,1,17
1294,cna,3,1,3
1295,vikeke,23,1,23
1296,konsellu,118,1,118
1297,erd,1,1,1
1298,lautén,32,1,32
1299,sígla,1,1,1
1300,kafi,4,1,4
1301,ainaru,45,1,45
1302,afairs,1,1,1
1303,natalino,4,1,4
1304,nabilan,1,1,1
1305,inkluzaun,15,1,15
1306,pergunta,2,1,2
1307,dfat,2,1,2
1308,real,5,1,5
1309,jogu,24,1,24
1310,foin-sa'e,1,1,1
1311,ázia,7,1,7
1312,of,12,1,12
1313,ular,1,1,1
1314,partisipante,4,1,4
1315,geordie,1,1,1
1316,oioin,24,1,24
1317,krime,16,1,16
1318,drama,3,1,3
1319,trade,2,1,2
1320,foreign,2,1,2
1321,noronha,3,1,3
1322,departament,1,1,1
1323,fundasaun,16,1,16
1324,ativizmu,1,1,1
1325,parseiru,17,1,17
1326,hakribi,2,1,2
1327,kontra,129,1,129
1328,hafanu,1,1,1
1329,mundu,33,1,33
1330,tanga,1,1,1
1331,sosiedade,13,1,13
1332,igualidade,1,1,1
1333,corte,1,1,1
1334,tolera,4,1,4
1335,samea,1,1,1
1336,baibain,10,1,10
1337,violénsia,23,1,23
1338,marxa,1,1,1
1339,seii,7,1,7
1340,animasaun,2,1,2
1341,organiza,9,1,9
1342,cardoso,2,1,2
1343,komunitária,11,1,11
1344,kualkér,8,1,8
1345,intervista,2,1,2
1346,hato'o,8,1,8
1347,covid-,429,1,429
1348,dala,29,1,29
1349,dirijente,5,1,5
1350,hasees-an,2,1,2
1351,fasil,3,1,3
1352,istória,31,1,31
1353,komitmentu,7,1,7
1354,araújo,18,1,18
1355,armajén,2,1,2
1356,tantu,8,1,8
1357,a-,1,1,1
1358,atus,8,1,8
1359,lakohi,31,1,31
1360,ai-kasi,1,1,1
1361,sabraka,1,1,1
1362,ai-fuan,1,1,1
1363,instituisaun,43,1,43
1364,sim,3,1,3
1365,ai-samtuku,3,1,3
1366,adalberto,4,1,4
1367,higino,1,1,1
1368,antes,16,1,16
1369,ai-saria,1,1,1
1370,s,8,1,8
1371,ajénsia,14,1,14
1372,non-gormenamentál,1,1,1
1373,estimativa,2,1,2
1374,plantasaun,1,1,1
1375,ai-mahoni,1,1,1
1376,kolmera,11,1,11
1377,hatene,59,1,59
1378,interese,15,1,15
1379,ai-kakeu,2,1,2
1380,benefísia,4,1,4
1381,kole,2,1,2
1382,ná,1,1,1
1383,keuntungan,1,1,1
1384,benefisiáriu,29,1,29
1385,benefísiu,7,1,7
1386,tamba,1,1,1
1387,salak,1,1,1
1388,viveiru,3,1,3
1389,finje,1,1,1
1390,belarmino,1,1,1
1391,la'ós,2,1,2
1392,kraik,12,1,12
1393,de'it,10,1,10
1394,ngo,2,1,2
1395,santalum,3,1,3
1396,foho,11,1,11
1397,fa'an,4,1,4
1398,arbiru,20,1,20
1399,admite,1,1,1
1400,produtus,1,1,1
1401,primeiru,18,1,18
1402,propriedade,6,1,6
1403,komérsiu,27,1,27
1404,despeju,3,1,3
1405,ladún,17,1,17
1406,lesa-arte,2,1,2
1407,prosedur,2,1,2
1408,operasionál,7,1,7
1409,só,8,1,8
1410,kurikulum,1,1,1
1411,viii,19,1,19
1412,ramos-horta,15,1,15
1413,dezentendimentu,2,1,2
1414,umanu,31,1,31
1415,lamentasaun,10,1,10
1416,sustenta,18,1,18
1417,terras,4,1,4
1418,justifika,5,1,5
1419,komesa,19,1,19
1420,parlamentu,63,1,63
1421,eiz,38,1,38
1422,ximenes,13,1,13
1423,imposível,2,1,2
1424,kabe,1,1,1
1425,deputadu,13,1,13
1426,razaun,36,1,36
1427,sér,1,1,1
1428,privada,5,1,5
1429,mario,3,1,3
1430,setp,3,1,3
1431,indústria,18,1,18
1432,kompeténsia,6,1,6
1433,hatún,5,1,5
1434,prezerva,4,1,4
1435,kontrusaun-de-uzu,1,1,1
1436,produtiva,1,1,1
1437,sentimentu,7,1,7
1438,produtu,51,1,51
1439,li’ur,9,1,9
1440,hasain,1,1,1
1441,rezolve,12,1,12
1442,fundus,1,1,1
1443,kbiit,12,1,12
1444,saudozu,5,1,5
1445,kaza,1,1,1
1446,nu'udar,11,1,11
1447,kama,2,1,2
1448,nobre,4,1,4
1449,kasa,2,1,2
1450,malikati,3,1,3
1451,grasa,4,1,4
1452,kaben,9,1,9
1453,maulear,1,1,1
1454,luta,42,1,42
1455,veteranu,60,1,60
1456,funu-na’in,1,1,1
1457,trasa,3,1,3
1458,maromak,9,1,9
1459,x,9,1,9
1460,vasconcelos,10,1,10
1461,stroke,7,1,7
1462,sadia,1,1,1
1463,kontribuisaun,24,1,24
1464,hena,2,1,2
1465,xumasu,1,1,1
1466,esponja,1,1,1
1467,rosita,2,1,2
1468,sofre,4,1,4
1469,konsentrasaun,2,1,2
1470,medida,50,1,50
1471,prezidénsia,18,1,18
1472,cidália,4,1,4
1473,ukun,17,1,17
1474,espesífiku,5,1,5
1475,reflesaun,7,1,7
1476,rona,41,1,41
1477,matenek,13,1,13
1478,dadaun,3,1,3
1479,serve,6,1,6
1480,ulun,6,1,6
1481,bázika,37,1,37
1482,fa’an,60,1,60
1483,aman,14,1,14
1484,hatán,22,1,22
1485,serví,8,1,8
1486,simples,1,1,1
1487,ketak,2,1,2
1488,loroloron,1,1,1
1489,reflete,4,1,4
1490,estruturadu,1,1,1
1491,bainhira,5,1,5
1492,estruturada,2,1,2
1493,tenki,4,1,4
1494,sá,2,1,2
1495,solusiona,6,1,6
1496,mártiru,2,1,2
1497,individualmente,1,1,1
1498,inísia,1,1,1
1499,mensajen,25,1,25
1500,funu,9,1,9
1501,kompatriota,2,1,2
1502,valoriza,2,1,2
1503,lisaun,2,1,2
1504,preokupadu,1,1,1
1505,terus,9,1,9
1506,inspira,5,1,5
1507,komemorasaun,9,1,9
1508,temi,47,1,47
1509,devér,9,1,9
1510,sakrifísiu,4,1,4
1511,rekoñese,12,1,12
1512,koñese,6,1,6
1513,memória,7,1,7
1514,nesesáriu,9,1,9
1515,pasadu,11,1,11
1516,jerasaun,9,1,9
1517,koletivu,2,1,2
1518,inisia,7,1,7
1519,obra,8,1,8
1520,salienta,12,1,12
1521,pátria,9,1,9
1522,livre,24,1,24
1523,pro-ativu,1,1,1
1524,kustu,12,1,12
1525,hein,39,1,39
1526,oje,16,1,16
1527,montante,47,1,47
1528,espesialidade,3,1,3
1529,importánsia,6,1,6
1530,istóriku,9,1,9
1531,favor,1,1,1
1532,a,13,1,13
1533,diskusaun,15,1,15
1534,amerikanu,21,1,21
1535,abstensaun,11,1,11
1536,muda,18,1,18
1537,retifikativu,6,1,6
1538,jeral,1,1,1
1539,kresimentu,6,1,6
1540,introdús,1,1,1
1541,sub-programa,1,1,1
1542,rezultadu-sira,1,1,1
1543,krese,1,1,1
1544,sesta,29,1,29
1545,redusaun,3,1,3
1546,dólar,25,1,25
1547,deside,71,1,71
1548,jeneralidade,3,1,3
1549,billaun,10,1,10
1550,inflasaun,1,1,1
1551,sustentabilidade,4,1,4
1552,atividades,1,1,1
1553,análize,6,1,6
1554,esperadu,1,1,1
1555,anima,1,1,1
1556,buras,7,1,7
1557,prátika,8,1,8
1558,baze,12,1,12
1559,fatuberlihu,3,1,3
1560,livia,4,1,4
1561,organizadora,1,1,1
1562,fokál,3,1,3
1563,diária,2,1,2
1564,pontu,27,1,27
1565,dezenvolve-an,3,1,3
1566,planeamentu,2,1,2
1567,infromasaun,1,1,1
1568,vírus,8,1,8
1569,tema,7,1,7
1570,narciso,3,1,3
1571,ezekutivu,15,1,15
1572,kombate,23,1,23
1573,pasiente,72,1,72
1574,komemora,11,1,11
1575,infetadu,31,1,31
1576,antiretroviral,1,1,1
1577,ransu,1,1,1
1578,isaac,10,1,10
1579,prevene-an,4,1,4
1580,arantes,12,1,12
1581,tama-sai,6,1,6
1582,lívre,1,1,1
1583,prostituisaun,4,1,4
1584,kooperasaun,31,1,31
1585,cncs-tl,1,1,1
1586,droga,2,1,2
1587,postu-administratívu,1,1,1
1588,prevene,24,1,24
1589,lian’,1,1,1
1590,fernandes,6,1,6
1591,perigu,2,1,2
1592,hiv-sida,11,1,11
1593,seksu,2,1,2
1594,sakramentu,1,1,1
1595,kona,5,1,5
1596,diskriminisaun,1,1,1
1597,koperasaun,1,1,1
1598,hili,14,1,14
1599,mundiál,34,1,34
1600,fatór,5,1,5
1601,afeta,8,1,8
1602,foinsa’e,29,1,29
1603,atanasio,1,1,1
1604,partilla,9,1,9
1605,polítika,21,1,21
1606,estígma,1,1,1
1607,online,39,1,39
1608,kauza,28,1,28
1609,brazil,2,1,2
1610,intervalu,1,1,1
1611,booster,2,1,2
1612,javid,1,1,1
1613,kanadá,4,1,4
1614,itália,10,1,10
1615,mínimu,4,1,4
1616,españa,2,1,2
1617,áustria,4,1,4
1618,doze,92,1,92
1619,viziñu,12,1,12
1620,bbc,12,1,12
1621,sajid,1,1,1
1622,estadus,26,1,26
1623,noruega,2,1,2
1624,oms,30,1,30
1625,omicron,6,1,6
1626,vasina,322,1,322
1627,unidus,27,1,27
1628,seka,1,1,1
1629,da’et,11,1,11
1630,cdc,1,1,1
1631,izrael,7,1,7
1632,datoluk,12,1,12
1633,concern’,1,1,1
1634,suésia,1,1,1
1635,nijéria,1,1,1
1636,rekomendasaun,16,1,16
1637,portugál,23,1,23
1638,aplikasaun,15,1,15
1639,hong,1,1,1
1640,variante,64,1,64
1641,prevensaun,44,1,44
1642,arábia,1,1,1
1643,fransa,4,1,4
1644,eua,35,1,35
1645,adultu,5,1,5
1646,variant,1,1,1
1647,amérika,25,1,25
1648,kong,1,1,1
1649,booter’,1,1,1
1650,métade,1,1,1
1651,saudita,1,1,1
1652,cnn,23,1,23
1653,redúz,10,1,10
1654,áfrika,3,1,3
1655,béljika,7,1,7
1656,dinamarka,4,1,4
1657,botswana,1,1,1
1658,karau,6,1,6
1659,tender,5,1,5
1660,burokrasia,1,1,1
1661,eletrifikasaun,7,1,7
1662,hornai,1,1,1
1663,verifika,6,1,6
1664,tutuluru,8,1,8
1665,komitiva,4,1,4
1666,movimentasaun,5,1,5
1667,sr,10,1,10
1668,asiste,2,1,2
1669,bazeia,28,1,28
1670,sebasti,3,1,3
1671,burokrásia,1,1,1
1672,adn,6,1,6
1673,distánsia,16,1,16
1674,unipessoal,3,1,3
1675,ornai,2,1,2
1676,uma-kain,28,1,28
1677,nakukun,7,1,7
1678,milagre,2,1,2
1679,durasaun,8,1,8
1680,kilómetru,5,1,5
1681,lda,17,1,17
1682,mindelu,1,1,1
1683,damenia,1,1,1
1684,mil,2,1,2
1685,reseita,12,1,12
1686,investimentu,5,1,5
1687,manutensaun,14,1,14
1688,ezemplu,8,1,8
1689,tránzitu,20,1,20
1690,inspetór,15,1,15
1691,investe,7,1,7
1692,movimentu,42,1,42
1693,totalmente,3,1,3
1694,gama,7,1,7
1695,kaikoli,30,1,30
1696,mesak,11,1,11
1697,pelumenus,7,1,7
1698,paradu,3,1,3
1699,segunda-feira,1,1,1
1700,publika,11,1,11
1701,nu,1,1,1
1702,jornál,2,1,2
1703,integradu,47,1,47
1704,armindo,28,1,28
1705,cigc,2,1,2
1706,sakato,2,1,2
1707,merkadoria,2,1,2
1708,funsionamentu,4,1,4
1709,mezmu,4,1,4
1710,knaar,20,1,20
1711,normál,11,1,11
1712,governante,12,1,12
1713,mi,22,1,22
1714,dekretu,28,1,28
1715,interiór,34,1,34
1716,vila-verde,9,1,9
1717,migrasaun,20,1,20
1718,dadeer,22,1,22
1719,artigu,20,1,20
1720,estratéjia,2,1,2
1721,diminui,1,1,1
1722,mota-ain,2,1,2
1723,barabarak,1,1,1
1724,mina,11,1,11
1725,tún-sa,2,1,2
1726,suporta,13,1,13
1727,vicente,3,1,3
1728,modo,9,1,9
1729,preokupa,19,1,19
1730,fíziku,14,1,14
1731,kareta,42,1,42
1732,konkretu,2,1,2
1733,osan,77,1,77
1734,permite,19,1,19
1735,mouzinho,3,1,3
1736,to’ok,3,1,3
1737,dignifika,5,1,5
1738,hán,14,1,14
1739,dalaruma,25,1,25
1740,líder,27,1,27
1741,defisiente,14,1,14
1742,liman,24,1,24
1743,tane,4,1,4
1744,ai-hán,48,1,48
1745,hakbesik-an,11,1,11
1746,túr,15,1,15
1747,foos,20,1,20
1748,defisiénsia,19,1,19
1749,perspetiva,1,1,1
1750,identidade,7,1,7
1751,koopera,21,1,21
1752,negósiu,36,1,36
1753,tarutu,2,1,2
1754,kapitál,24,1,24
1755,loja,12,1,12
1756,interior,1,1,1
1757,foto,2,1,2
1758,sériu,6,1,6
1759,orden,5,1,5
1760,atuasaun,6,1,6
1761,aktu,6,1,6
1762,kontaktu,9,1,9
1763,sunu,18,1,18
1764,video,1,1,1
1765,fugetes,7,1,7
1766,keixa,7,1,7
1767,bairu,12,1,12
1768,rigorozu,1,1,1
1769,invazór,1,1,1
1770,séria,1,1,1
1771,soberania,3,1,3
1772,seriedade,2,1,2
1773,dezafiu,16,1,16
1774,órgaun,12,1,12
1775,keta-ketak,3,1,3
1776,ukun-na’in,1,1,1
1777,rasik-an,8,1,8
1778,restaura,2,1,2
1779,dignidade,4,1,4
1780,interdependénsia,1,1,1
1781,tribunál,14,1,14
1782,kle’an,10,1,10
1783,prizionál,19,1,19
1784,kobre,11,1,11
1785,remuneratóriu,14,1,14
1786,mf,23,1,23
1787,suplementu,10,1,10
1788,gleno,2,1,2
1789,agostu,149,1,149
1790,abril,47,1,47
1791,frente,7,1,7
1792,detallu,3,1,3
1793,pagamentu,34,1,34
1794,sekretariadu,5,1,5
1795,guarda,15,1,15
1796,kulu,1,1,1
1797,seguransa,61,1,61
1798,matak,2,1,2
1799,violentu,8,1,8
1800,bee-matan,7,1,7
1801,atrativu,1,1,1
1802,uailili,4,1,4
1803,vizitante,10,1,10
1804,orgullu,9,1,9
1805,turista,14,1,14
1806,konserva,5,1,5
1807,disponivel,1,1,1
1808,setór,20,1,20
1809,furak,7,1,7
1810,hudi,4,1,4
1811,uaisaraké,2,1,2
1812,turístiku,14,1,14
1813,kuida,8,1,8
1814,pixina,3,1,3
1815,transforma,4,1,4
1816,komunitáriu,4,1,4
1817,fasilidade,26,1,26
1818,lucas,7,1,7
1819,naturál,16,1,16
1820,doméstika,2,1,2
1821,mtci,18,1,18
1822,sítiu,7,1,7
1823,turizmu,39,1,39
1824,pelu,4,1,4
1825,diploma,13,1,13
1826,matrix,2,1,2
1827,dias,1,1,1
1828,lala'ok,1,1,1
1829,pasa,19,1,19
1830,patria,1,1,1
1831,finalista,14,1,14
1832,kontratadu,4,1,4
1833,anu,1,1,1
1834,herois,5,1,5
1835,na'in,1,1,1
1836,terseiru,2,1,2
1837,revizaun,2,1,2
1838,se,6,1,6
1839,treinamentu,11,1,11
1840,voluntária,1,1,1
1841,rezumu,1,1,1
1842,preparadu,8,1,8
1843,estuda,15,1,15
1844,dala-barak,9,1,9
1845,orgaun,2,1,2
1846,kombatente,12,1,12
1847,neon-na’in,2,1,2
1848,halimar,8,1,8
1849,sujestaun,2,1,2
1850,kuidadu,23,1,23
1851,ai-laran,2,1,2
1852,sorumutuk,22,1,22
1853,dúun,1,1,1
1854,keta,1,1,1
1855,luta-na’in,1,1,1
1856,bolsu,10,1,10
1857,kompetente,6,1,6
1858,konvensaun,6,1,6
1859,falsu,23,1,23
1860,batallaun,4,1,4
1861,soe,30,1,30
1862,akontesimentu,16,1,16
1863,familia,4,1,4
1864,mata-ween,2,1,2
1865,debu,1,1,1
1866,hamonu,1,1,1
1867,cnc,19,1,19
1868,dame,6,1,6
1869,def,1,1,1
1870,nacional,6,1,6
1871,armoniza,1,1,1
1872,defende,7,1,7
1873,oho,9,1,9
1874,semináriu,3,1,3
1875,lavatere,1,1,1
1876,chega,8,1,8
1877,laek’,1,1,1
1878,gara-ulu,2,1,2
1879,uatukarbau,2,1,2
1880,hadomi,8,1,8
1881,afaloikai,2,1,2
1882,baguia,2,1,2
1883,vitima,2,1,2
1884,lala’ok,2,1,2
1885,tour,1,1,1
1886,masakre,15,1,15
1887,misaun,21,1,21
1888,lekisa,1,1,1
1889,entende,1,1,1
1890,fdch,14,1,14
1891,institutu,7,1,7
1892,ramos,5,1,5
1893,superintendentexefe,10,1,10
1894,regulamentu,7,1,7
1895,legalidade,2,1,2
1896,valór,25,1,25
1897,munisipiu,14,1,14
1898,kapasita,6,1,6
1899,cfp,2,1,2
1900,inap,1,1,1
1901,sarjentu,3,1,3
1902,arquimino,2,1,2
1903,inspetur,1,1,1
1904,ajente,8,1,8
1905,comoro,1,1,1
1906,sfp,1,1,1
1907,servisus,1,1,1
1908,janeiru,21,1,21
1909,referál,2,1,2
1910,setembru,159,1,159
1911,ekonomia,9,1,9
1912,pandemia,63,1,63
1913,esteriór,3,1,3
1914,kritéria,5,1,5
1915,lumpur,1,1,1
1916,malázia,8,1,8
1917,kuarentena,25,1,25
1918,sees,1,1,1
1919,kuala,1,1,1
1920,transit,1,1,1
1921,timor-lerste,1,1,1
1922,air,1,1,1
1923,aranka,15,1,15
1924,maioria,19,1,19
1925,atua,1,1,1
1926,faustino,20,1,20
1927,orientasaun,12,1,12
1928,natál,3,1,3
1929,gosta,5,1,5
1930,legál,4,1,4
1931,domina,6,1,6
1932,komisáriu,14,1,14
1933,destakadu,1,1,1
1934,festa,4,1,4
1935,atuál,15,1,15
1936,apelu,5,1,5
1937,baku,15,1,15
1938,alin,5,1,5
1939,instabilidade,2,1,2
1940,estabilidade,6,1,6
1941,páz,6,1,6
1942,konflitu,13,1,13
1943,orasaun,3,1,3
1944,parókia,10,1,10
1945,prioridade,18,1,18
1946,inisitiva,1,1,1
1947,metropolitana,2,1,2
1948,kongregasaun,2,1,2
1949,rejiaun,27,1,27
1950,fatuk,10,1,10
1951,oe-silo,5,1,5
1952,konkordata,1,1,1
1953,divinu,1,1,1
1954,verbu,1,1,1
1955,planeia,12,1,12
1956,bispu,5,1,5
1957,dioseze,3,1,3
1958,svd,2,1,2
1959,nesesita,1,1,1
1960,sdb,1,1,1
1961,sarani,18,1,18
1962,kofre,3,1,3
1963,sempre,21,1,21
1964,até,2,1,2
1965,caldas,1,1,1
1966,jestór,7,1,7
1967,júlio,5,1,5
1968,manleuana,21,1,21
1969,merkadu,71,1,71
1970,negosiante,18,1,18
1971,kata,1,1,1
1972,kordenadór,2,1,2
1973,obriga,11,1,11
1974,kompradores,1,1,1
1975,dodok,3,1,3
1976,julio,5,1,5
1977,barros,2,1,2
1978,pedidu,39,1,39
1979,lixeiru,3,1,3
1980,hariis-fatin,10,1,10
1981,nene,1,1,1
1982,ladi’ak,1,1,1
1983,levanta,1,1,1
1984,negativu,8,1,8
1985,resposta,11,1,11
1986,impaktu,22,1,22
1987,jenerál,31,1,31
1988,emprendedorizmu,1,1,1
1989,rendimentu,18,1,18
1990,estimula,2,1,2
1991,pekuária,1,1,1
1992,kreativu,4,1,4
1993,manajer,1,1,1
1994,asosiativizmu,1,1,1
1995,timór,13,1,13
1996,subvensaun,1,1,1
1997,mandatu,12,1,12
1998,morál,5,1,5
1999,okupasaun,5,1,5
2000,violasaun,1,1,1
2001,arkivu,3,1,3
2002,koreia,1,1,1
2003,dijitál,3,1,3
2004,respeitu,4,1,4
2005,rai-laran,13,1,13
2006,koica,2,1,2
2007,la’ós,2,1,2
2008,rekonsiliasaun,3,1,3
2009,rekupera,9,1,9
2010,embaixadór,49,1,49
2011,justisa,22,1,22
2012,parseria,14,1,14
2013,demostra,1,1,1
2014,kabu,4,1,4
2015,globál,7,1,7
2016,kim,4,1,4
2017,esperiénsia,6,1,6
2018,submariñu,2,1,2
2019,jeong,1,1,1
2020,agusto,2,1,2
2021,potensialidade,1,1,1
2022,dijitalizasaun,1,1,1
2023,haforsa,7,1,7
2024,kanek,10,1,10
2025,pedra,2,1,2
2026,inácia,1,1,1
2027,kulturál,8,1,8
2028,waiuma,1,1,1
2029,teixeira,1,1,1
2030,alternativu,2,1,2
2031,waniuma,1,1,1
2032,produtivu,6,1,6
2033,koordenasaun,7,1,7
2034,caibada,1,1,1
2035,biban,9,1,9
2036,espesialmente,4,1,4
2037,autór,6,1,6
2038,modelu,5,1,5
2039,kaibada,4,1,4
2040,aniceto,10,1,10
2041,gariuai,2,1,2
2042,abríl,23,1,23
2043,darasula,1,1,1
2044,urbanu,1,1,1
2045,sexta-feira,1,1,1
2046,tutela,4,1,4
2047,pnds,14,1,14
2048,ppn,16,1,16
2049,dezde,34,1,34
2050,reabilita,2,1,2
2051,arlindo,1,1,1
2052,difísil,11,1,11
2053,privadu,19,1,19
2054,mikrolete,26,1,26
2055,kloot,8,1,8
2056,dook,9,1,9
2057,pacheco,2,1,2
2058,octavio,3,1,3
2059,taxi,1,1,1
2060,aselera,9,1,9
2061,kestiona,4,1,4
2062,provizóriu,10,1,10
2063,konfortável,2,1,2
2064,urjente,7,1,7
2065,kotu,5,1,5
2066,ai-lo’ok,8,1,8
2067,macet,1,1,1
2068,abandona,5,1,5
2069,bemo,3,1,3
2070,motorista,9,1,9
2071,araska,13,1,13
2072,lemos,1,1,1
2073,novembu,1,1,1
2074,normaliza,3,1,3
2075,elvis,2,1,2
2076,sees-malu,1,1,1
2077,fila-fali,9,1,9
2078,ne'ebá,2,1,2
2079,volta,2,1,2
2080,engarafamentu,2,1,2
2081,sub-rejionál,1,1,1
2082,nitas,2,1,2
2083,bano,6,1,6
2084,usitasae,2,1,2
2085,usitaqueno,1,1,1
2086,unipessoál,1,1,1
2087,tua,6,1,6
2088,izoladu,2,1,2
2089,paix,9,1,9
2090,ambenu,2,1,2
2091,pa,5,1,5
2092,raeoa,43,1,43
2093,penu,1,1,1
2094,oel,2,1,2
2095,oenoah,1,1,1
2096,usitakeno,2,1,2
2097,am-lichoe,1,1,1
2098,katu’i,2,1,2
2099,arsénio,4,1,4
2100,nakome,2,1,2
2101,naroman,4,1,4
2102,surya,2,1,2
2103,matahari,2,1,2
2104,sagu,2,1,2
2105,batugade,2,1,2
2106,kaixa,5,1,5
2107,tabaku,12,1,12
2108,shoot,2,1,2
2109,hori-sehik,7,1,7
2110,lebos,7,1,7
2111,sigaru,3,1,3
2112,mapelai,1,1,1
2113,ain,8,1,8
2114,adelino,4,1,4
2115,superintendenteeuclides,1,1,1
2116,fugetis,1,1,1
2117,pohon,2,1,2
2118,sek,2,1,2
2119,rutina,2,1,2
2120,objetu,4,1,4
2121,nuu-badak,2,1,2
2122,investigasaun,36,1,36
2123,la'o,5,1,5
2124,alto,2,1,2
2125,maumali,1,1,1
2126,mantéin,45,1,45
2127,aviza,2,1,2
2128,saneamentu,7,1,7
2129,fakar,6,1,6
2130,selae,7,1,7
2131,nunka,8,1,8
